year,stcd,inc,dv,dvp,fr,redist,dpres,incwin,inc3,decade,ptynow,cprescat,cexpx,split,state,midterm,preswin,south,iexpx
1946,1301,1,56.799999,62,0,0,,1,1,40,1,0,,1,13,0,,0,
1946,1302,1,48.700001,57.299999,0,0,,0,1,40,1,0,,1,13,0,,0,
1946,1303,1,42.799999,52,1,0,,0,1,40,1,0,,1,13,0,,0,
1946,1304,1,70.699997,80.400002,0,0,,1,1,40,1,0,,1,13,0,,0,
1946,1305,1,71.599998,76.300003,0,0,,1,1,40,1,0,,1,13,0,,0,
1946,1306,1,52,60.099998,0,0,,1,1,40,1,0,,1,13,0,,0,
1946,1307,1,45,54.599998,0,0,,0,1,40,1,0,,1,13,0,,0,
1946,1308,1,77.300003,79.199997,0,0,,1,1,40,1,0,,1,13,0,,0,
1946,1309,1,48.700001,52.799999,1,0,,0,1,40,1,0,,1,13,0,,0,
1946,1310,0,35.299999,44.200001,0,0,,1,-1,40,-1,0,,1,13,0,,0,
1946,1311,0,25.1,33.799999,0,0,,1,-1,40,-1,0,,1,13,0,,0,
1946,1312,0,30.9,39.099998,0,0,,1,-1,40,-1,0,,1,13,0,,0,
1946,1313,0,22.200001,30,0,0,,1,-1,40,-1,0,,1,13,0,,0,
1946,1314,0,37.900002,45.599998,0,0,,1,-1,40,-1,0,,1,13,0,,0,
1946,1315,0,35.700001,40.700001,0,0,,1,-1,40,-1,0,,1,13,0,,0,
1946,1316,0,32.5,41,0,0,,1,-1,40,-1,0,,1,13,0,,0,
1946,1317,0,28.799999,33.700001,0,0,,1,-1,40,-1,0,,1,13,0,,0,
1946,1318,3,34.900002,43.099998,9,0,,,0,40,-1,,,1,13,0,,0,
1946,1319,0,37.5,44.200001,0,0,,1,-1,40,-1,0,,1,13,0,,0,
1946,1320,0,41.200001,44.400002,0,0,,1,-1,40,-1,0,,1,13,0,,0,
1946,1321,0,44.900002,44.299999,0,0,,1,-1,40,-1,0,,1,13,0,,0,
1946,1322,1,50.700001,50.799999,1,0,,1,1,40,1,0,,1,13,0,,0,
1946,1323,0,45.099998,45.299999,0,0,,1,-1,40,-1,0,,1,13,0,,0,
1946,1324,0,41.099998,,2,0,,1,-1,40,-1,0,,1,13,0,,0,
1946,1325,0,40.200001,46.5,0,0,,1,-1,40,-1,0,,1,13,0,,0,
1946,1326,1,44.900002,52.299999,0,0,,0,1,40,1,0,,1,13,0,,0,
1946,1401,1,52.599998,61.700001,0,0,,1,1,40,1,0,,1,14,0,,0,
1946,1402,0,38.099998,38.099998,0,0,,1,-1,40,-1,0,,1,14,0,,0,
1946,1403,0,43.700001,47.900002,0,0,,1,-1,40,-1,0,,1,14,0,,0,
1946,1404,0,39.900002,39.799999,0,0,,1,-1,40,-1,0,,1,14,0,,0,
1946,1405,0,43.5,45.900002,0,0,,1,-1,40,-1,0,,1,14,0,,0,
1946,1406,0,42.099998,44.599998,0,0,,1,-1,40,-1,0,,1,14,0,,0,
1946,1407,0,48.5,45.799999,0,0,,1,-1,40,-1,0,,1,14,0,,0,
1946,1408,3,47.799999,47.799999,9,0,,,0,40,-1,,,1,14,0,,0,
1946,1409,0,43.700001,44,0,0,,1,-1,40,-1,0,,1,14,0,,0,
1946,1410,0,38.700001,45,0,0,,1,-1,40,-1,0,,1,14,0,,0,
1946,1411,1,51.400002,51.299999,0,0,,1,1,40,1,0,,1,14,0,,0,
1946,1501,0,38.5,43.299999,0,0,,1,-1,40,-1,0,,1,15,0,,0,
1946,1502,0,40.900002,44.099998,0,0,,1,-1,40,-1,0,,1,15,0,,0,
1946,1503,0,38,43.200001,0,0,,1,-1,40,-1,0,,1,15,0,,0,
1946,1504,0,41.599998,45.200001,0,0,,1,-1,40,-1,0,,1,15,0,,0,
1946,1505,0,40.599998,45.799999,0,0,,1,-1,40,-1,0,,1,15,0,,0,
1946,1506,0,36.599998,41.099998,1,0,,1,-1,40,-1,0,,1,15,0,,0,
1946,1507,0,37,38.400002,0,0,,1,-1,40,-1,0,,1,15,0,,0,
1946,1508,0,31.4,43.799999,0,0,,1,-1,40,-1,0,,1,15,0,,0,
1946,1601,0,35.700001,32.700001,1,0,,1,-1,40,-1,0,,1,16,0,,0,
1946,1602,0,41.200001,40.900002,0,0,,1,-1,40,-1,0,,1,16,0,,0,
1946,1603,3,44.700001,39.799999,9,0,,,0,40,-1,,,1,16,0,,0,
1946,1604,0,43.900002,41.5,0,0,,1,-1,40,-1,0,,1,16,0,,0,
1946,1605,0,37.400002,31,0,0,,1,-1,40,-1,0,,1,16,0,,0,
1946,1606,3,39.5,34,9,0,,,0,40,-1,,,1,16,0,,0,
1946,1701,1,66.699997,69.900002,0,0,,1,1,40,1,0,,1,17,0,,0,
1946,1702,1,56.599998,57.5,1,0,,1,1,40,1,0,,1,17,0,,0,
1946,1703,1,41.900002,57.400002,0,0,,0,1,40,1,0,,1,17,0,,0,
1946,1704,1,53,54.700001,1,0,,1,1,40,1,0,,1,17,0,,0,
1946,1705,1,51.200001,58.099998,0,0,,1,1,40,1,0,,1,17,0,,0,
1946,1706,1,55,58.900002,0,0,,1,1,40,1,0,,1,17,0,,0,
