"district","dem","gop","oth","DEMtp"
1,12228,5474,501,0.690769404587052
2,14895,10103,647,0.595847667813425
3,16813,13908,682,0.547280361967384
4,11066,14979,855,0.424880015358034
5,10695,16436,1050,0.394198518300099
6,9226,15856,755,0.367833506099992
7,11798,13939,662,0.458406185647123
8,10700,21467,849,0.332639040009948
9,10184,14786,644,0.407849419303164
10,16713,993,269,0.943917316164012
11,10189,17930,757,0.362352857498489
12,14019,19244,668,0.421459279078856
13,13054,13716,775,0.487635412775495
14,11946,16547,819,0.419260871091145
15,11555,17606,762,0.396248413977573
16,13891,12105,706,0.534351438682874
17,7769,18235,802,0.298761728964775
18,12613,10746,741,0.539963183355452
19,16809,2690,257,0.862044207395251
20,18482,10569,548,0.636191525248701
21,21525,10292,600,0.676525128076186
22,6657,3207,337,0.674878345498783
23,23084,3808,312,0.858396549159601
24,22859,2023,226,0.918696246282453
25,16479,11158,418,0.596265875456815
26,17801,12798,934,0.581751037615608
27,17520,9081,521,0.658621856321191
28,15752,16874,539,0.482805124747134
29,22015,15578,778,0.585614343095789
30,18530,15045,530,0.551898734177215
31,23176,16100,814,0.590080456258275
32,19747,9459,471,0.676128192837088
33,16481,12493,562,0.568820321667702
34,24258,4692,327,0.837927461139896
35,14925,8200,423,0.645405405405405
36,17156,6841,435,0.714922698670667
37,11907,19869,696,0.374716767371601
38,16397,11628,512,0.585084745762712
39,14344,16411,593,0.466395708014957
40,17491,18249,526,0.489395635142697
41,13681,14117,629,0.492157709187711
42,23138,11301,474,0.671854583466419
43,7725,14860,624,0.342041177772858
44,15458,14581,551,0.514597689670096
45,16467,12009,549,0.578276443320691
46,14706,16125,544,0.476987447698745
47,11290,15204,726,0.426134219068468
48,12062,15859,551,0.432004584363024
49,11395,5023,377,0.694055305152881
50,9581,14443,591,0.398809523809524
51,9202,13240,430,0.410034756260583
52,8529,14994,429,0.362581303405178
53,15924,10681,798,0.598534110129675
54,14393,5580,502,0.720622840835127
55,13273,18208,623,0.421619389473015
56,12937,19169,625,0.402946489752694
57,12868,17352,664,0.425810721376572
58,11151,17416,616,0.390345503553051
59,11239,19539,754,0.365163428422899
60,10161,17509,732,0.367220816769064
61,21236,12764,794,0.624588235294118
62,9728,15646,619,0.383384566879483
63,7003,19240,714,0.266852112944404
64,7936,15983,778,0.331786445921652
65,8212,16211,787,0.336240429103714
66,5625,18262,149,0.235483735923306
67,6097,16809,739,0.266174801362089
68,6211,18498,839,0.251365899065118
69,6417,21556,786,0.229399778357702
70,19401,13054,801,0.597781543675859
71,8362,18173,767,0.315130959110609
72,9886,15405,810,0.390890039935155
73,6666,17336,743,0.277726856095325
74,13281,9832,691,0.574611690390689
75,7777,18417,793,0.296900053447354
76,8075,14624,750,0.355742543724393
77,14265,9319,521,0.604859226594301
78,4749,23125,613,0.170373825069958
79,8212,14356,660,0.363878057426445
80,6845,20805,617,0.24755877034358
81,6757,19641,790,0.255966361087961
82,12278,10197,562,0.546295884315907
83,7822,12980,735,0.376021536390732
84,7136,21887,959,0.245873962030114
85,8237,18247,767,0.311017973115844
86,7375,19320,904,0.27626896422551
87,14408,17324,810,0.45405269128955
88,15347,14458,816,0.514913605099815
89,9229,17499,702,0.345293325351691
90,7103,19767,721,0.26434685522888
91,11037,18008,800,0.379996557066621
92,10813,19828,805,0.352893182337391
93,11424,18015,793,0.388056659533272
94,9333,16532,708,0.360835105354726
95,9747,5001,394,0.660903173311636
96,17412,10422,590,0.625565854710067
97,12968,17859,632,0.420670191715055
98,11752,18382,800,0.389991371872304
99,7582,17190,705,0.306071370902632
100,5628,15149,465,0.270876449920585
101,9024,13002,738,0.409697630073549
102,8320,18259,886,0.313029083110727
103,15814,8450,536,0.651747444774151
104,11811,5915,437,0.666309376057768
105,16389,9191,594,0.640695856137607
106,14230,15552,730,0.477805385803505
107,7087,16676,878,0.298236754618525
108,9125,15517,866,0.3703027351676
109,9023,14830,892,0.378275269358152
110,8583,16861,900,0.337329036315045
111,9133,18976,863,0.324913728698993
112,16074,11480,627,0.58336357697612
113,11992,8014,444,0.599420173947816
114,15621,10881,538,0.589427213040525
115,11408,8522,600,0.572403411941796
116,5457,8921,409,0.379538183335652
117,8696,17996,691,0.325790499025925
118,14410,13001,661,0.525701360767575
119,10201,11266,608,0.475194484557693
120,12715,13449,613,0.485973092799266
121,8761,7266,392,0.54664004492419
122,9682,15659,891,0.38206858450732
123,9345,14699,1021,0.38866245217102
124,8861,16862,1086,0.344477704777825
125,12128,18495,818,0.396042190510401
126,10319,7294,672,0.585874070288991
127,7100,3387,371,0.677028702202727
128,12641,15432,931,0.4502903145371
129,11443,7514,578,0.603629266234109
130,11711,16742,1079,0.411591044881032
131,15383,16780,962,0.478282498523148
132,15490,10485,723,0.596342637151107
133,13710,9169,732,0.59923947724988
134,10287,6331,502,0.619027560476592
135,15197,7701,544,0.6636824176784
136,12462,8382,568,0.597869890616005
137,15694,14116,830,0.526467628312647
138,12699,17004,931,0.427532572467428
139,10583,18326,728,0.366079767546439
140,14053,10055,796,0.582918533266965
141,13287,8857,852,0.600027095375723
142,15925,14332,817,0.526324486895594
143,16877,16892,994,0.49977790281027
144,16665,14352,859,0.537286004449173
145,13428,15932,936,0.457356948228883
146,14791,10465,847,0.585643015521064
147,15140,16575,864,0.477376635661359
148,27482,8655,490,0.760494783739657
149,21549,8709,560,0.712175292484632
150,18077,11842,709,0.604198001270096
151,20826,12073,768,0.633028359524606
152,17541,10406,778,0.627652341932945
153,22249,10189,790,0.685893088353166
154,26513,5986,589,0.815809717222068
155,19220,12935,814,0.597729746540196
156,18655,11757,727,0.613409180586611
157,21005,13120,671,0.615531135531135
158,18134,12048,734,0.600821681797098
159,12577,5146,481,0.70964283699148
160,18190,16193,697,0.529040514207603
161,17821,11737,817,0.602916300155626
162,15341,9743,771,0.611585074150853
163,16352,8355,663,0.661836726433804
164,14819,3127,403,0.825755042906497
165,20822,13127,716,0.613331762349406
166,22177,12152,716,0.646013574528824
167,19474,12162,757,0.615564546718928
168,18571,12017,590,0.607133516411665
169,9611,17309,810,0.357020802377415
170,9443,10106,470,0.483042610875237
171,8792,16855,894,0.34280812570671
172,10401,8327,409,0.555371636052969
173,8771,6553,405,0.57237013834508
174,9792,6932,430,0.585505859842143
175,24073,3579,360,0.870569940691451
176,10496,13090,759,0.445009751547528
177,11575,5176,487,0.69100352217778
178,16497,18496,848,0.471437144571771
179,9517,1426,193,0.869688385269122
180,6934,1324,147,0.839670622426738
181,15773,975,248,0.941784093623119
182,27471,3127,318,0.897803778024707
183,12605,16297,901,0.436128987613314
184,15798,5475,357,0.742631504724298
185,13994,5621,346,0.713433596737191
186,21293,1733,308,0.924737253539477
187,14562,15705,898,0.48111804936069
188,19839,830,220,0.959843243504766
189,11366,8569,530,0.570152997241033
190,18357,641,237,0.966259606274345
191,17620,740,229,0.959694989106754
192,19984,838,245,0.959754106233791
193,8425,17059,706,0.330599591900801
194,23683,5482,541,0.812034973427053
195,20032,1309,270,0.93866266810365
196,9711,17742,755,0.353731832586603
197,11267,1017,179,0.917209378052752
198,17365,750,250,0.958597847088049
199,11384,14391,729,0.441668283220175
200,30049,1054,354,0.966112593640485
201,20742,602,306,0.971795352323838
202,7182,2726,229,0.724868792894631
203,12442,2427,265,0.836774497276212
