"district","dem","gop","oth","DEMtp","dem_vote","gop_vote"
1,12242,5941,0,0.67326623769455,67.326623769455,32.673376230545
2,14771,10836,0,0.576834459327528,57.6834459327528,42.3165540672472
3,17089,14305,0,0.544339682741925,54.4339682741925,45.5660317258075
4,10968,15948,0,0.407489968791797,40.7489968791797,59.2510031208203
5,10273,16991,0,0.376797241784038,37.6797241784038,62.3202758215962
6,8814,16977,0,0.341747121088752,34.1747121088752,65.8252878911248
7,11248,14829,0,0.431337960654983,43.1337960654983,56.8662039345017
8,9942,23050,0,0.301345780795344,30.1345780795344,69.8654219204656
9,9674,15903,0,0.378230441412206,37.8230441412206,62.1769558587794
10,16214,0,754,1,95.5563413484206,0
11,9455,19380,0,0.327900121380267,32.7900121380267,67.2099878619733
12,13397,20481,0,0.395448373575772,39.5448373575772,60.4551626424228
13,13503,14091,0,0.489345509893455,48.9345509893455,51.0654490106545
14,11073,18188,0,0.378421790096032,37.8421790096032,62.1578209903968
15,6342,19940,0,0.241305836694315,24.1305836694315,75.8694163305685
16,13160,13371,0,0.496023519656251,49.6023519656251,50.3976480343749
17,7210,19402,0,0.270930407335037,27.0930407335037,72.9069592664963
18,10310,13617,0,0.430893969156183,43.0893969156183,56.9106030843817
19,15569,3675,0,0.809031386406153,80.9031386406153,19.0968613593847
20,17095,12137,0,0.584804324028462,58.4804324028462,41.5195675971538
21,19876,12023,0,0.623091632966551,62.3091632966551,37.6908367033449
22,6695,3489,0,0.657403770620581,65.7403770620581,34.2596229379419
23,21245,5218,0,0.802819030344254,80.2819030344254,19.7180969655746
24,21868,2728,0,0.889087656529517,88.9087656529517,11.0912343470483
25,13400,13872,0,0.491346435904957,49.1346435904957,50.8653564095043
26,18233,13308,0,0.578072984369551,57.8072984369551,42.1927015630449
27,16007,10555,0,0.60262781417062,60.262781417062,39.737218582938
28,14542,18364,0,0.441925484714034,44.1925484714034,55.8074515285966
29,19493,18670,0,0.510782695280769,51.0782695280769,48.9217304719231
30,17369,16499,0,0.512843982520373,51.2843982520373,48.7156017479627
31,20187,19709,0,0.50599057549629,50.599057549629,49.400942450371
32,18311,10810,0,0.628790220116067,62.8790220116067,37.1209779883933
33,15521,13645,0,0.532160735102517,53.2160735102517,46.7839264897483
34,22845,5759,0,0.798664522444413,79.8664522444413,20.1335477555587
35,12172,10527,0,0.536235076435085,53.6235076435085,46.3764923564915
36,14705,8985,0,0.620726044744618,62.0726044744618,37.9273955255382
37,11655,20773,0,0.35941161958801,35.941161958801,64.058838041199
38,13039,14566,0,0.472341967034957,47.2341967034957,52.7658032965043
39,9317,19431,0,0.324092110755531,32.4092110755531,67.5907889244469
40,10470,21324,0,0.329307416493678,32.9307416493678,67.0692583506322
41,13413,14945,0,0.472988222018478,47.2988222018478,52.7011777981522
42,21995,12514,0,0.637369961459329,63.7369961459329,36.2630038540671
43,7617,15601,0,0.32806443276768,32.806443276768,67.193556723232
44,14600,15710,0,0.481689211481359,48.1689211481359,51.8310788518641
45,15490,13088,0,0.54202533417314,54.202533417314,45.797466582686
46,4331,19557,0,0.181304420629605,18.1304420629605,81.8695579370395
47,10545,16610,0,0.388326275087461,38.8326275087461,61.1673724912539
48,0,19150,0,0,0,100
49,11113,5485,0,0.669538498614291,66.9538498614291,33.0461501385709
50,0,17494,0,0,0,100
51,0,15311,0,0,0,100
52,0,17428,0,0,0,100
53,14481,12699,0,0.532781456953642,53.2781456953642,46.7218543046358
54,14428,5895,0,0.709934556905969,70.9934556905969,29.0065443094031
55,4163,20909,0,0.166041799617103,16.6041799617103,83.3958200382897
56,10287,21476,0,0.323867392878506,32.3867392878506,67.6132607121494
57,1240,20633,0,0.0566908974534815,5.66908974534815,94.3309102546519
58,2257,19373,0,0.104345815996301,10.4345815996301,89.5654184003699
59,0,21952,0,0,0,100
60,4819,19768,0,0.195997885061211,19.5997885061211,80.4002114938789
61,21724,13025,0,0.625169069613514,62.5169069613514,37.4830930386486
62,0,19556,0,0,0,100
63,5802,20958,0,0.216816143497758,21.6816143497758,78.3183856502242
64,6951,17638,0,0.282687380536012,28.2687380536012,71.7312619463988
65,7335,17767,0,0.292207792207792,29.2207792207792,70.7792207792208
66,4037,19800,0,0.169358560221504,16.9358560221504,83.0641439778496
67,5143,18439,0,0.218090068696463,21.8090068696463,78.1909931303537
68,5542,19710,0,0.219467764929511,21.9467764929511,78.0532235070489
69,0,24786,0,0,0,100
70,19592,13547,0,0.591206735266604,59.1206735266604,40.8793264733396
71,0,22399,0,0,0,100
72,0,19912,0,0,0,100
73,4045,19438,0,0.172252267597837,17.2252267597837,82.7747732402163
74,13670,10136,0,0.574224985297824,57.4224985297824,42.5775014702176
75,6599,20362,0,0.244760951003301,24.4760951003301,75.5239048996699
76,7381,16023,0,0.315373440437532,31.5373440437532,68.4626559562468
77,13624,10303,0,0.569398587369917,56.9398587369917,43.0601412630083
78,0,25226,0,0,0,100
79,0,17832,0,0,0,100
80,0,23922,0,0,0,100
81,0,22898,0,0,0,100
82,11663,11248,0,0.50905678495046,50.905678495046,49.094321504954
83,7543,13782,0,0.353716295427902,35.3716295427902,64.6283704572099
84,6710,23131,0,0.224858416272913,22.4858416272913,77.5141583727087
85,6344,19597,0,0.244554951620986,24.4554951620986,75.5445048379014
86,0,22703,0,0,0,100
87,13860,18702,0,0.425649530127142,42.5649530127142,57.4350469872858
88,14828,15759,0,0.48478111616046,48.478111616046,51.521888383954
89,0,21477,0,0,0,100
90,0,23016,0,0,0,100
91,0,21601,0,0,0,100
