"district","dem","gop","oth","DEMtp","dem_vote","gop_vote"
1,85912,9503,0,0.900403500497825,90.0403500497825,9.95964995021747
2,35301,4117,0,0.89555533005226,89.555533005226,10.444466994774
3,62218,0,133,1,99.7866914724704,0
4,102431,16962,220,0.857931369510775,85.6353406402314,14.1807328634847
5,33312,22127,0,0.600876639189019,60.0876639189019,39.9123360810981
6,61612,62464,0,0.496566620458429,49.6566620458429,50.3433379541571
7,80753,5078,2476,0.940837226643054,91.4457517524092,5.750393513538
8,69675,3624,90,0.95055867065035,94.939296079794,4.93806973797163
9,62708,51731,0,0.547960048584836,54.7960048584836,45.2039951415164
10,80743,46230,1692,0.63590684633741,62.7544398243501,35.9305172346792
11,33909,39920,0,0.459291064486855,45.9291064486855,54.0708935513145
12,74445,55398,0,0.573346272036228,57.3346272036228,42.6653727963772
13,19606,61392,840,0.24205535939159,23.957085950292,75.0164960043012
14,41722,33587,246,0.554010808801073,55.220700152207,44.4537092184501
15,35316,46380,4857,0.432285546415981,40.8027451388167,53.5856642750685
16,39266,75836,861,0.341140901113795,33.8608004277226,65.3967213680226
17,87174,33191,280,0.72424708179288,72.2566206639314,27.5112934642961
18,60263,31619,0,0.655873838183757,65.5873838183757,34.4126161816243
19,68747,50839,0,0.57487498536618,57.487498536618,42.512501463382
20,25918,79087,0,0.246826341602781,24.6826341602781,75.3173658397219
21,1111,88811,0,0.0123551522430551,1.23551522430551,98.7644847756945
22,54873,36781,0,0.598697274532481,59.8697274532481,40.1302725467519
23,3122,86742,0,0.034741386984777,3.4741386984777,96.5258613015223
24,52491,62090,0,0.458112601565705,45.8112601565705,54.1887398434295
25,28280,70612,0,0.285968531327104,28.5968531327104,71.4031468672896
26,68690,38512,782,0.64075297102666,63.6112757445548,35.6645428952437
27,14171,75878,2038,0.157369876400626,15.3887085039148,82.3981669508183
28,22605,76291,901,0.228573450897913,22.6509814924296,76.4461857570869
29,26248,67496,0,0.279996586448199,27.9996586448199,72.0003413551801
30,12178,80742,0,0.131058975462764,13.1058975462764,86.8941024537236
31,29578,62682,0,0.320593973553002,32.0593973553002,67.9406026446998
32,8968,81352,0,0.0992914083259522,9.92914083259522,90.0708591674048
33,12238,85730,727,0.124918340682672,12.3998176199402,86.8635695830589
34,32968,77784,0,0.297674082635077,29.7674082635077,70.2325917364923
35,29536,71559,0,0.292160838814976,29.2160838814976,70.7839161185024
36,19080,82070,6036,0.188630746416214,17.8008321982348,76.5678353516317
37,56357,63899,0,0.46864189728579,46.864189728579,53.135810271421
38,70715,54585,0,0.564365522745411,56.4365522745411,43.5634477254589
39,15318,85620,0,0.151756523806693,15.1756523806693,84.8243476193307
40,46538,47332,1237,0.495770746777458,48.9322552493507,49.7671044192331
41,21968,76435,0,0.223245226263427,22.3245226263427,77.6754773736573
42,78463,23745,2109,0.767679633688165,75.2159283721733,22.7623493773786
43,85656,0,7292,1,92.154753195335,0
44,69298,56420,0,0.551217804928491,55.1217804928491,44.8782195071509
45,65848,25971,1818,0.717150045197617,70.3226288753377,27.7358309215374
46,16010,73068,0,0.179730124160848,17.9730124160848,82.0269875839152
47,37240,74356,0,0.333703716979103,33.3703716979103,66.6296283020897
48,24579,76697,166,0.24269323432995,24.2296090376767,75.606750655547
49,59847,36855,3394,0.618880684991003,59.7896019820972,36.8196531329923
50,31785,70073,0,0.312052072493079,31.2052072493079,68.7947927506921
