"district","dem","gop","oth","DEMtp","dem_vote","gop_vote"
1,191990,167612,2233,0.533895807031107,53.0600964528031,46.3227714289662
2,129411,27713,0,0.823623380260177,82.3623380260177,17.6376619739823
3,250092,8143,2829,0.968466706681898,95.7971991542304,3.11915852051604
4,204566,150636,0,0.575914550030687,57.5914550030687,42.4085449969313
5,207023,100378,1152,0.673462350480317,67.0947940872395,32.5318502817992
6,170395,149478,0,0.532695788641117,53.2695788641117,46.7304211358883
7,127802,133746,1059,0.488636885007723,48.6666387415415,50.9300970651963
8,131531,144952,744,0.475729068333315,47.4452344107897,52.2863934609544
9,47831,227351,2204,0.17381587458482,17.2434802044804,81.9619591471812
10,101733,172342,4857,0.371186718963787,36.4723301736624,61.7863852121664
11,59129,216772,7777,0.214312380165349,20.8437030717927,76.4148083390323
12,198616,94152,8469,0.67840747622691,65.9334676683143,31.2551247024768
13,39192,247659,727,0.136628423815849,13.6283025822559,86.1188964385315
14,50904,223288,0,0.185650930734668,18.5650930734668,81.4349069265332
15,51147,228207,0,0.1830902725574,18.30902725574,81.69097274426
16,105477,189214,3394,0.357924062831915,35.384873442139,63.4765251522217
17,189951,157630,2750,0.5464941984746,54.2204372436353,44.9945908298152
