"district","dem","gop","oth","DEM"
1,13327,0,3394,0.75
2,16242,9068,0,0.641722639273015
3,19934,11179,0,0.640696814836242
4,10276,16375,0,0.385576526209148
5,0,21349,0,0.25
6,8056,17610,0,0.313878282552794
7,12818,13559,0,0.485953671759487
8,0,25702,0,0.25
9,12090,13599,0,0.470629452294757
10,15874,0,0,0.75
11,0,23579,0,0.25
12,12734,20996,0,0.377527423658464
13,11181,16325,0,0.406493128771904
14,9402,19781,0,0.322173868348011
15,0,22375,0,0.25
16,15104,11534,0,0.567009535250394
17,0,22001,0,0.25
18,11459,12558,0,0.477120373069076
19,16296,0,0,0.75
20,17783,11313,0,0.611183667858125
21,20255,11601,0,0.635829984932195
22,6442,3662,0,0.63756927949327
23,22340,0,2983,0.75
24,21832,0,0,0.75
25,16655,11025,0,0.601697976878613
26,17853,13463,0,0.570091965768297
27,18374,8263,0,0.689792394038368
28,14432,18376,0,0.439892709095343
29,21345,15601,1243,0.577735072808964
30,18757,15136,0,0.553418109934205
31,24199,15680,0,0.606810602071266
32,21796,0,3555,0.75
33,15945,13120,0,0.548597970067091
34,22990,0,0,0.75
35,15241,7817,0,0.66098534131321
36,17385,0,4681,0.75
37,0,25535,0,0.25
38,20430,0,0,0.75
39,12508,18102,0,0.408624632473048
40,15464,20331,0,0.432015644643107
41,0,18402,6105,0.25
42,23409,10961,0,0.681088158277568
43,0,18511,0,0.25
44,13719,16703,0,0.450956544605877
45,18222,10540,0,0.633544259787219
46,0,21777,0,0.25
47,0,19537,0,0.25
48,0,20085,0,0.25
49,11045,5511,0,0.66712974148345
50,9216,15003,0,0.380527684875511
51,8269,13383,0,0.381904673933124
52,0,17962,0,0.25
53,16578,10560,0,0.610877736015919
54,14379,5685,0,0.716656698564593
55,11585,18523,0,0.384781453434303
56,0,23664,0,0.25
57,0,21811,0,0.25
58,10192,17527,0,0.36769003210794
59,0,22149,0,0.25
60,8604,19056,0,0.311062906724512
61,21435,13092,0,0.620818489877487
62,7604,18147,0,0.295289503320259
63,0,23702,0,0.25
64,0,20286,0,0.25
65,0,20203,0,0.25
66,0,21506,0,0.25
67,0,21089,0,0.25
68,0,22628,0,0.25
69,0,25771,0,0.25
70,20051,12870,0,0.609064123204034
71,0,23233,0,0.25
72,14129,11775,0,0.545436998147004
73,0,21141,0,0.25
74,13289,10346,0,0.562259361116987
75,6442,20468,0,0.239390561129692
76,7627,15776,0,0.325898389095415
77,14851,9003,0,0.622579022386183
78,0,25672,0,0.25
79,0,18434,0,0.25
80,5367,22764,0,0.190785965660659
81,6759,20424,0,0.248648052091381
82,12739,9870,0,0.563448184351364
83,0,16835,0,0.25
84,0,25957,0,0.25
85,0,21244,0,0.25
86,0,22536,0,0.25
87,13510,18878,0,0.417129801160924
88,13832,16722,0,0.452706683249329
89,0,21928,0,0.25
90,0,23303,0,0.25
91,10025,18988,727,0.345534760279875
92,9281,22040,0,0.296318763768717
93,10241,18930,901,0.351067841349285
94,0,19838,0,0.25
95,11266,0,0,0.75
96,17250,10988,0,0.610878957433246
97,0,23282,0,0.25
98,10718,18910,937,0.361752396381801
99,7220,18057,0,0.285635162400601
100,0,18356,0,0.25
101,8569,14072,0,0.378472682302018
102,8170,19142,0,0.299135910954892
103,16193,8527,0,0.655056634304207
104,11718,0,4857,0.75
105,16399,9406,0,0.635496996706065
106,0,21985,0,0.25
107,6032,18303,0,0.247873433326484
108,0,21915,0,0.25
109,7110,15495,2038,0.314532183145322
110,0,22426,0,0.25
111,0,24070,0,0.25
112,17982,10033,0,0.641870426557202
113,12082,8289,0,0.59309803151539
114,16745,10036,0,0.625256711847952
115,11462,8898,0,0.562966601178782
116,4571,9811,0,0.317827840356001
