"district","dem","gop","oth","DEMtp","dem_vote","gop_vote"
1,187796,178310,1961,0.512955264322355,51.0222323653031,48.444984201246
2,36494,0,0,1,100,0
3,95935,5359,0,0.947094595928683,94.7094595928683,5.29054040713172
4,174122,123261,0,0.585514303104078,58.5514303104078,41.4485696895922
5,95134,51887,0,0.647077628366016,64.7077628366016,35.2922371633984
6,55623,45609,0,0.549460644855382,54.9460644855382,45.0539355144618
7,144349,126512,0,0.53292648258701,53.292648258701,46.707351741299
8,122388,133979,0,0.477393736323318,47.7393736323318,52.2606263676682
9,34962,81672,0,0.29975821801533,29.975821801533,70.024178198467
10,44141,64004,0,0.408164963706135,40.8164963706135,59.1835036293865
11,32438,168336,0,0.161564744439021,16.1564744439021,83.8435255560979
12,53296,1540,0,0.971916259391641,97.1916259391641,2.80837406083595
13,34918,116369,0,0.230806348199118,23.0806348199118,76.9193651800882
14,21891,133985,0,0.140438553722189,14.0438553722189,85.9561446277811
16,30434,75842,0,0.286367571229629,28.6367571229629,71.3632428770372
17,103463,56800,0,0.645582573644572,64.5582573644572,35.4417426355428
