"district","dem","gop","oth","DEMtp","dem_vote","gop_vote"
1,90792,12740,1251,0.876946258161728,86.6476432245689,12.158460819026
2,37214,9432,808,0.797796166873901,78.4212079066043,19.8760905297762
3,65002,3221,770,0.952787183208009,94.2153551809604,4.66858956705753
4,107575,13717,1202,0.886909276786598,87.820627949124,11.198099498751
5,46030,27709,1119,0.624228698517745,61.4897539341153,37.0154158540169
6,73342,51616,2207,0.586933209558412,57.6746746353163,40.5897849250973
7,86562,9671,1199,0.89950432803716,88.8435011084654,9.92589703588144
8,74017,9290,988,0.888484761184534,87.807105996797,11.0208197401981
9,72453,40307,1935,0.642541681447322,63.1701469113736,35.1427699550983
10,84993,46072,2447,0.648479761950177,63.6594463419018,34.5077596021331
11,47502,31556,2080,0.600850008854259,58.5447016194631,38.8917646478839
12,86993,41965,1962,0.674583973076506,66.4474488237091,32.0539260617171
13,45804,46649,1675,0.495430110434491,48.6613972463029,49.5591109977902
14,50795,34864,1918,0.592990812407336,58.0003882297864,39.8095390342213
15,64823,36330,2039,0.640841102092869,62.8178540972168,35.2062175362431
16,66768,57843,2515,0.535811445217517,52.521120777811,45.5005270361688
17,93371,26971,1599,0.775880407505277,76.5706366193487,22.1180734945588
18,61701,40983,2212,0.600882318569592,58.8211180597926,39.0701266015863
19,76794,41110,2090,0.651326502917628,63.9981999099955,34.2600463356501
20,49496,63000,2191,0.439980088180913,43.1574633567885,54.9321195950718
21,41414,66478,2185,0.383846809772736,37.6227549806045,60.39227086494
22,56884,33411,1796,0.629979511600864,61.7693368515924,36.2804182819168
23,35448,67944,2166,0.342850510677809,33.581538111749,64.3665094071506
24,68041,51488,2283,0.569242610579859,55.8573867927626,42.2684136209897
25,42774,58848,2146,0.420912794473638,41.2208002467042,56.7111248168992
26,73518,35693,1744,0.673173947679263,66.2592943085034,32.1688973007075
27,39285,60119,3231,0.395205424329001,38.2764164271447,58.5755346616651
28,48840,61978,2614,0.440722626288148,43.0566330488751,54.6389026024402
29,38075,55604,2062,0.406441144760298,39.7687511097649,58.0775216469433
30,32321,67805,1558,0.322803267882468,31.7857283348413,66.6820738759293
31,51935,48435,2238,0.51743548869184,50.6149617963512,47.2039217215032
32,35143,66872,1460,0.344488555604568,33.9627929451558,64.6262382217927
33,40433,69550,1826,0.367629542747516,36.1625629421603,62.2042948242091
34,54867,60667,2350,0.474899163882493,46.5432119710902,51.4633029079434
35,45942,60661,1972,0.430963481327918,42.3136081049965,55.8701358507944
36,60348,60003,2202,0.501433307575342,49.2423686078676,48.9608577513402
37,72576,48947,2045,0.597220279288694,58.7336527256248,39.6113880616341
38,82421,43633,2105,0.653854697193266,64.3115192846386,34.045989747111
39,58294,66543,2228,0.466960917035815,45.8773068901743,52.3692598276473
40,52054,44107,1958,0.541321325693368,53.0519063586054,44.9525576086181
41,42450,62566,1928,0.404224118229603,39.693671454219,58.5035158587672
42,81968,25416,2016,0.763316695224614,74.9250457038391,23.2321755027422
43,89941,15881,1613,0.84992723630247,83.7166658910039,14.7819611858333
44,77892,47490,2296,0.621237498205484,61.0065947148295,37.1951315026864
45,66480,36036,1735,0.64848413906122,63.7691724779618,34.5665749009602
46,51107,56495,1879,0.474963290645155,46.681159287913,51.6025611749984
47,58658,57603,2405,0.50453720508167,49.4311765796437,48.5421266411609
48,44283,62991,2311,0.412802729459142,40.4097276087056,57.4814071268878
49,61812,38517,2020,0.616093053852824,60.3933599742059,37.6330008109508
50,43801,61510,1981,0.415920464149044,40.8241061775342,57.329530626701
