Year,State,Dfinal,Rfinal
2016,AK,36200,138149
2020,AK,146068,191112
2016,AL,748709,1335104
2020,AL,920478,1392076
2016,AR,400602,661984
2020,AR,423932,760647
2018,AZ,1191100,1135200
2020,AZ,1716467,1637661
2016,CA,8753788,4483810
2018,CA,7702604.5,4281236.5
2016,CO,1370710,1215318
2020,CO,1731114,1429492
2016,CT,920766,552621
2018,CT,787685,545717
2018,DE,217385,137127
2020,DE,291804,186054
2016,FL,4122088,4835191
2018,FL,4089472,4099505
2020,GA,2288446,2194848
2020,GA,2269262,2213979
2016,HI,306604,92653
2018,HI,276316,112035
2016,IA,549460,926007
2020,IA,754859,864997
2016,ID,188249,449017
2020,ID,285864,538446
2016,IL,3012940,2184692
2020,IL,3278930,2319870
2016,IN,1158947,1423991
2018,IN,1023553,1158000
2016,KS,379740,732376
2020,KS,571530,727962
2016,KY,813246,1090177
2020,KY,816257,1233315
2016,LA,347816,536191
2020,LA,394049,1228908
2018,MA,1633371,979210
2020,MA,2357809,1177765
2016,MD,1659907,972557
2018,MD,1491614,697017
2018,ME,344575,223502
2020,ME,347223,417645
2018,MI,2214478,1938818
2020,MI,2734568,2642233
2018,MN,1566174,940437
2020,MN,1566522,1398145
2016,MO,1300200,1378458
2018,MO,1112935,1254927
2018,MS,420819,486769
2020,MS,578691,709511
2018,MT,253876,235963
2020,MT,272463,333174
2016,NC,2128165,2395376
2020,NC,2569965,2665598
2016,ND,58116,268788
2018,ND,144376,179720
2018,NE,269917,403151
2020,NE,227191,583507
2016,NH,354649,353632
2020,NH,450778,326229
2018,NJ,1711654,1357355
2020,NJ,2541178,1817052
2018,NM,376998,212813
2020,NM,474483,418483
2016,NV,521994,495079
2018,NV,490071,441202
2016,NY,5221949,2009353
2018,NY,4056931,1998220
2016,OH,1996908,3118567
2018,OH,2355923,2053963
2016,OK,355911,980892
2020,OK,509763,979140
2016,OR,1105119,651106
2020,OR,1321047,912814
2016,PA,2865012,2951702
2018,PA,2777680,2134848
2018,RI,231477,144421
2020,RI,328574,164855
2016,SC,704540,1241609
2020,SC,1110828,1369137
2016,SD,104140,265516
2020,SD,143987,276232
2018,TN,985450,1227483
2020,TN,1040691,1840926
2018,TX,4045632,4260553
2020,TX,4888764,5962983
2016,UT,301858,760220
2018,UT,328541,665215
2018,VA,1910370,1374313
2020,VA,2466500,1934199
2016,VT,192243,103637
2018,VT,183529,74663
2016,WA,1913979,1329338
2018,WA,1803364,1282804
2016,WI,1380335,1479471
2018,WI,1472914,1184885
2018,WV,288808,269872
2020,WV,210309,547454
2018,WY,61227,136210
2020,WY,72766,198100
