"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2000 General Election","ADAMS","Senator in the General Assembly","33rd Senatorial District","Republican / Democratic","PUNT, TERRY","30,387","30,387","","","","","","","","","",""
"2000 General Election","ADAMS","Representative in the General Assembly","91st Legislative District","Republican","MAITLAND, STEPHEN R.","18,608","18,608","","","","","","","","","",""
"2000 General Election","ADAMS","Representative in the General Assembly","91st Legislative District","Democratic","BERG, MARK D.","6,495","6,495","","","","","","","","","",""
"2000 General Election","ADAMS","Representative in the General Assembly","193rd Legislative District","Republican","NICKOL, STEVEN R.","6,436","6,436","","","","","","","","","",""
"2000 General Election","ALLEGHENY","Senator in the General Assembly","37th Senatorial District","Republican","MURPHY, TIM","66,298","66,298","","","","","","","","","",""
"2000 General Election","ALLEGHENY","Senator in the General Assembly","37th Senatorial District","Democratic","RUDOLPH, JOSEPH","38,664","38,664","","","","","","","","","",""
"2000 General Election","ALLEGHENY","Senator in the General Assembly","43rd Senatorial District","Democratic","COSTA, JAY","71,210","71,210","","","","","","","","","",""
"2000 General Election","ALLEGHENY","Senator in the General Assembly","45th Senatorial District","Republican","MACDONALD, LAURIE ZACHARIA","28,328","28,328","","","","","","","","","",""
"2000 General Election","ALLEGHENY","Senator in the General Assembly","45th Senatorial District","Democratic","LOGAN, SEAN F.","49,856","49,856","","","","","","","","","",""
"2000 General Election","ALLEGHENY","Representative in the General Assembly","16th Legislative District","Republican","FERGUSON, SARAH","3,439","3,439","","","","","","","","","",""
"2000 General Election","ALLEGHENY","Representative in the General Assembly","16th Legislative District","Democratic","LAUGHLIN, SUSAN","4,008","4,008","","","","","","","","","",""
"2000 General Election","ALLEGHENY","Representative in the General Assembly","19th Legislative District","Republican","CONNOLLY, ERIN L.","1,596","1,596","","","","","","","","","",""
"2000 General Election","ALLEGHENY","Representative in the General Assembly","19th Legislative District","Democratic","ROBINSON, WILLIAM RUSSELL","13,053","13,053","","","","","","","","","",""
"2000 General Election","ALLEGHENY","Representative in the General Assembly","20th Legislative District","Democratic","WALKO, DON","14,266","14,266","","","","","","","","","",""
"2000 General Election","ALLEGHENY","Representative in the General Assembly","20th Legislative District","Libertarian","STUTLER, CHARLES","762","762","","","","","","","","","",""
"2000 General Election","ALLEGHENY","Representative in the General Assembly","21st Legislative District","Democratic","PISTELLA, FRANK J.","15,692","15,692","","","","","","","","","",""
"2000 General Election","ALLEGHENY","Representative in the General Assembly","22nd Legislative District","Republican","LEWELLEN, HARRY T.","4,196","4,196","","","","","","","","","",""
"2000 General Election","ALLEGHENY","Representative in the General Assembly","22nd Legislative District","Democratic","DIVEN, MICHAEL","15,047","15,047","","","","","","","","","",""
"2000 General Election","ALLEGHENY","Representative in the General Assembly","23rd Legislative District","Democratic","FRANKEL, DAN B.","18,035","18,035","","","","","","","","","",""
