"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2008 General Election","ADAMS","Senator in the General Assembly","33rd Senatorial District","Democratic","TUSHINGHAM               , BRUCE","14,843","0","0","","","","","","","","",""
"2008 General Election","ADAMS","Senator in the General Assembly","33rd Senatorial District","Republican","ALLOWAY                  , RICHARD","28,014","0","0","","","","","","","","",""
"2008 General Election","ADAMS","Representative in the General Assembly","91st Legislative District","Republican","MOUL                     , DAN","22,440","0","0","","","","","","","","",""
"2008 General Election","ADAMS","Representative in the General Assembly","193rd Legislative District","Democratic","CLIFFORD                 , NEIL             F.","4,749","0","0","","","","","","","","",""
"2008 General Election","ADAMS","Representative in the General Assembly","193rd Legislative District","Republican","TALLMAN                  , WILL","10,112","0","0","","","","","","","","",""
"2008 General Election","ALLEGHENY","Senator in the General Assembly","37th Senatorial District","Democratic","SCHMOTZER                , AMY              JUDE","43,391","0","0","","","","","","","","",""
"2008 General Election","ALLEGHENY","Senator in the General Assembly","37th Senatorial District","Republican","PIPPY                    , JOHN","79,980","0","0","","","","","","","","",""
"2008 General Election","ALLEGHENY","Senator in the General Assembly","43rd Senatorial District","Democratic","COSTA                    , JAY","101,482","0","0","","","","","","","","",""
"2008 General Election","ALLEGHENY","Senator in the General Assembly","45th Senatorial District","Democratic","LOGAN                    , SEAN","69,753","0","0","","","","","","","","",""
"2008 General Election","ALLEGHENY","Senator in the General Assembly","47th Senatorial District","Democratic","PETRELLA                 , JASON            M.","525","0","0","","","","","","","","",""
"2008 General Election","ALLEGHENY","Senator in the General Assembly","47th Senatorial District","Republican","VOGEL                    , ELDER","709","0","0","","","","","","","","",""
"2008 General Election","ALLEGHENY","Representative in the General Assembly","16th Legislative District","Democratic","MATZIE                   , ROBERT           F.","9,188","0","0","","","","","","","","",""
"2008 General Election","ALLEGHENY","Representative in the General Assembly","19th Legislative District","Democratic","WHEATLEY                 , JAKE","22,913","0","0","","","","","","","","",""
"2008 General Election","ALLEGHENY","Representative in the General Assembly","20th Legislative District","Democratic","WALKO                    , DON","22,151","0","0","","","","","","","","",""
"2008 General Election","ALLEGHENY","Representative in the General Assembly","20th Legislative District","Constitution","BARR                     , JIM","3,741","0","0","","","","","","","","",""
"2008 General Election","ALLEGHENY","Representative in the General Assembly","21st Legislative District","Democratic","COSTA                    , DOM","20,650","0","0","","","","","","","","",""
"2008 General Election","ALLEGHENY","Representative in the General Assembly","21st Legislative District","Green","MCALLISTER-ERICKSON      , JONAH            YON","1,891","0","0","","","","","","","","",""
"2008 General Election","ALLEGHENY","Representative in the General Assembly","21st Legislative District","Independent","MAHON                    , DAN","3,695","0","0","","","","","","","","",""
"2008 General Election","ALLEGHENY","Representative in the General Assembly","22nd Legislative District","Democratic","WAGNER                   , CHELSA","24,280","0","0","","","","","","","","",""
"2008 General Election","ALLEGHENY","Representative in the General Assembly","23rd Legislative District","Democratic","FRANKEL                  , DAN              B.","25,793","0","0","","","","","","","","",""
"2008 General Election","ALLEGHENY","Representative in the General Assembly","23rd Legislative District","Green","HUGHES                   , MARY             E.","3,948","0","0","","","","","","","","",""
"2008 General Election","ALLEGHENY","Representative in the General Assembly","24th Legislative District","Democratic","PRESTON                  , JOSEPH","26,342","0","0","","","","","","","","",""
"2008 General Election","ALLEGHENY","Representative in the General Assembly","25th Legislative District","Democratic / Republican","MARKOSEK                 , JOSEPH           F.","23,643","0","0","","","","","","","","",""
"2008 General Election","ALLEGHENY","Representative in the General Assembly","27th Legislative District","Democratic","DEASY                    , DANIEL           J.","19,251","0","0","","","","","","","","",""
"2008 General Election","ALLEGHENY","Representative in the General Assembly","27th Legislative District","Reform","LIBERATORE               , FRANK            J.","4,736","0","0","","","","","","","","",""
"2008 General Election","ALLEGHENY","Representative in the General Assembly","28th Legislative District","Democratic","CLINE                    , BRAD","9,521","0","0","","","","","","","","",""
"2008 General Election","ALLEGHENY","Representative in the General Assembly","28th Legislative District","Republican","TURZAI                   , MIKE","27,268","0","0","","","","","","","","",""
"2008 General Election","ALLEGHENY","Representative in the General Assembly","30th Legislative District","Republican","VULAKOVICH               , RANDY","28,942","0","0","","","","","","","","",""
"2008 General Election","ALLEGHENY","Representative in the General Assembly","32nd Legislative District","Democratic","DELUCA                   , ANTHONY          M.","22,083","0","0","","","","","","","","",""
