"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2002 General Election","ADAMS","Representative in the General Assembly","91st Legislative District","Republican","MAITLAND, STEPHEN R.","11,795","11,795","","","","","","","","","",""
"2002 General Election","ADAMS","Representative in the General Assembly","91st Legislative District","Democratic","BERG, MARK D.","4,032","4,032","","","","","","","","","",""
"2002 General Election","ADAMS","Representative in the General Assembly","193rd Legislative District","Republican","NICKOL, STEVEN R.","6,176","6,176","","","","","","","","","",""
"2002 General Election","ADAMS","Representative in the General Assembly","193rd Legislative District","Democratic","PANEBAKER, BILL","2,104","2,104","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Senator in the General Assembly","38th Senatorial District","Republican","TOMSON, TED","16,168","16,168","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Senator in the General Assembly","38th Senatorial District","Democratic","FERLO, JIM","34,092","34,092","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Senator in the General Assembly","40th Senatorial District","Republican","ORIE, JANE C.","40,049","40,049","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Senator in the General Assembly","40th Senatorial District","Democratic","DEMARCO, DAN","17,939","17,939","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Senator in the General Assembly","42nd Senatorial District","Republican","STEPNICK, THOMAS","16,952","16,952","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Senator in the General Assembly","42nd Senatorial District","Democratic","WAGNER, JACK","44,249","44,249","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Senator in the General Assembly","46th Senatorial District","Republican / Democratic","STOUT, J. BARRY","1,367","1,367","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","16th Legislative District","Republican","EGGERT, RON","4,527","4,527","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","16th Legislative District","Democratic","LAUGHLIN, SUSAN","3,096","3,096","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","19th Legislative District","Democratic","WHEATLEY, JAKE","8,615","8,615","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","20th Legislative District","Republican","ROMANO, ANGELO","5,176","5,176","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","20th Legislative District","Democratic","WALKO, DON","10,823","10,823","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","20th Legislative District","Libertarian","STUTLER, CHARLES","442","442","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","21st Legislative District","Republican","DI BELLO, MARIO J.","5,276","5,276","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","21st Legislative District","Democratic","PISTELLA, FRANK J.","10,952","10,952","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","22nd Legislative District","Republican","NAGY, GLENN P.","5,321","5,321","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","22nd Legislative District","Democratic","DIVEN, MICHAEL","12,548","12,548","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","23rd Legislative District","Democratic","FRANKEL, DAN B.","13,834","13,834","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","24th Legislative District","Democratic","PRESTON, JOSEPH","10,994","10,994","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","24th Legislative District","Green","WRIGHT, DUANE R.","1,779","1,779","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","25th Legislative District","Republican","FERO, PAUL","4,446","4,446","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","25th Legislative District","Democratic","MARKOSEK, JOSEPH F.","10,919","10,919","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","27th Legislative District","Republican","O'DONNELL, EDWARD","5,603","5,603","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","27th Legislative District","Democratic","PETRONE, THOMAS C.","10,634","10,634","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","28th Legislative District","Republican","TURZAI, MIKE","16,802","16,802","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","30th Legislative District","Republican","HABAY, JEFFREY E.","15,965","15,965","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","30th Legislative District","Democratic","WAGNER, BOBBI JO","7,070","7,070","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","32nd Legislative District","Democratic","DE LUCA, ANTHONY M.","14,376","14,376","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","33rd Legislative District","Republican","MCDONOUGH, JAMES M.","6,131","6,131","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","33rd Legislative District","Democratic","DERMODY, FRANK","11,233","11,233","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","34th Legislative District","Democratic","COSTA, PAUL","13,633","13,633","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","34th Legislative District","DBP","CLANAGAN, ROBERT","1,503","1,503","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","35th Legislative District","Democratic","GERGELY, MARC J.","10,799","10,799","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","36th Legislative District","Democratic","READSHAW, HARRY","13,218","13,218","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","38th Legislative District","Democratic","RUFFING, KENNETH W.","13,224","13,224","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","39th Legislative District","Republican","DOUGLAS, MONICA A.","5,982","5,982","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","39th Legislative District","Democratic","LEVDANSKY, DAVID","8,650","8,650","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","40th Legislative District","Republican","MAHER, JOHN A.","11,464","11,464","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","42nd Legislative District","Republican","STEVENSON, TOM","14,665","14,665","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","42nd Legislative District","Democratic","CROSSEY, MIKE","9,170","9,170","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","44th Legislative District","Republican","PIPPY, JOHN","13,431","13,431","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","45th Legislative District","Republican","OHLIGER, HERB","6,299","6,299","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","45th Legislative District","Democratic","KOTIK, NICK","12,126","12,126","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","46th Legislative District","Republican","SNATCHKO, PAUL","659","659","","","","","","","","","",""
"2002 General Election","ALLEGHENY","Representative in the General Assembly","46th Legislative District","Democratic","LESCOVITZ, VICTOR JOHN","426","426","","","","","","","","","",""
"2002 General Election","ARMSTRONG","Senator in the General Assembly","38th Senatorial District","Republican","TOMSON, TED","2,466","2,466","","","","","","","","","",""
"2002 General Election","ARMSTRONG","Senator in the General Assembly","38th Senatorial District","Democratic","FERLO, JIM","2,281","2,281","","","","","","","","","",""
"2002 General Election","ARMSTRONG","Representative in the General Assembly","54th Legislative District","Democratic","PALLONE, JOHN E.","1,533","1,533","","","","","","","","","",""
"2002 General Election","ARMSTRONG","Representative in the General Assembly","55th Legislative District","Democratic","PETRARCA, JOSEPH A.","562","562","","","","","","","","","",""
"2002 General Election","ARMSTRONG","Representative in the General Assembly","60th Legislative District","Republican / Democratic","COLEMAN, JEFF","12,163","12,163","","","","","","","","","",""
"2002 General Election","ARMSTRONG","Representative in the General Assembly","63rd Legislative District","Republican / Democratic","MCILHATTAN, FRED","4,617","4,617","","","","","","","","","",""
"2002 General Election","ARMSTRONG","Representative in the General Assembly","66th Legislative District","Republican","SMITH, SAM","192","192","","","","","","","","","",""
"2002 General Election","ARMSTRONG","Representative in the General Assembly","66th Legislative District","Democratic","BROSIUS, A. ANSON","67","67","","","","","","","","","",""
"2002 General Election","BEAVER","Senator in the General Assembly","46th Senatorial District","Republican / Democratic","STOUT, J. BARRY","3,000","3,000","","","","","","","","","",""
"2002 General Election","BEAVER","Representative in the General Assembly","9th Legislative District","Republican / Democratic","SAINATO, CHRIS","476","476","","","","","","","","","",""
"2002 General Election","BEAVER","Representative in the General Assembly","10th Legislative District","Republican / Democratic","LAGROTTA, FRANK","4,574","4,574","","","","","","","","","",""
"2002 General Election","BEAVER","Representative in the General Assembly","14th Legislative District","Democratic","VEON, MIKE","12,366","12,366","","","","","","","","","",""
