"county_fips","state","dem","gop","other"
"05047","ARKANSAS",1300,5677,152
"05049","ARKANSAS",1035,3961,123
"05051","ARKANSAS",14045,29069,1085
"05053","ARKANSAS",1268,6794,138
"05055","ARKANSAS",3058,12670,372
"05057","ARKANSAS",2138,4470,240
"05059","ARKANSAS",3082,9202,273
"05061","ARKANSAS",1340,3367,127
"05063","ARKANSAS",2806,11250,456
"05065","ARKANSAS",1021,4631,158
"05067","ARKANSAS",1365,3593,133
"05069","ARKANSAS",14981,9521,656
"05071","ARKANSAS",2283,6938,277
"05073","ARKANSAS",839,1757,83
"05075","ARKANSAS",1080,4569,208
"05077","ARKANSAS",1423,1286,139
"05079","ARKANSAS",1032,2729,114
"05081","ARKANSAS",1226,3715,236
"05083","ARKANSAS",1544,6441,240
"05085","ARKANSAS",6686,22884,1092
"05087","ARKANSAS",1563,5658,130
"05089","ARKANSAS",1531,5783,189
"05091","ARKANSAS",4245,11920,364
"05093","ARKANSAS",4558,7296,488
"05095","ARKANSAS",1147,1545,124
"05097","ARKANSAS",731,3046,96
"05099","ARKANSAS",1076,2133,149
"05101","ARKANSAS",709,3192,97
"05103","ARKANSAS",3995,5294,340
"05105","ARKANSAS",1012,3479,136
"05107","ARKANSAS",3623,2417,202
"05109","ARKANSAS",644,3519,83
"05111","ARKANSAS",1424,5918,179
"05113","ARKANSAS",1246,7035,209
"05115","ARKANSAS",5772,18081,579
"05117","ARKANSAS",654,2786,55
"05119","ARKANSAS",101947,63687,4322
"05121","ARKANSAS",1215,5355,242
"05123","ARKANSAS",3604,3242,262
"05125","ARKANSAS",16060,39556,1343
"05127","ARKANSAS",483,2962,106
"05129","ARKANSAS",588,3365,66
"05131","ARKANSAS",14487,31198,1455
"05133","ARKANSAS",1116,3884,202
"05135","ARKANSAS",1398,5938,230
"05137","ARKANSAS",1180,4616,142
"05139","ARKANSAS",5584,10478,545
"05141","ARKANSAS",1593,6034,180
"05143","ARKANSAS",43824,47504,2938
"05145","ARKANSAS",5978,24182,725
"05147","ARKANSAS",856,1543,77
"05149","ARKANSAS",1284,5226,231
"06001","CALIFORNIA",617659,136309,16102
"06003","CALIFORNIA",476,244,21
"06005","CALIFORNIA",8153,13585,566
"06007","CALIFORNIA",50426,48730,2910
"06009","CALIFORNIA",10046,16518,600
"06011","CALIFORNIA",3239,4559,163
"06013","CALIFORNIA",416386,152877,12053
"06015","CALIFORNIA",4677,6461,315
"06017","CALIFORNIA",51621,61838,2700
"06019","CALIFORNIA",193025,164464,7428
"06021","CALIFORNIA",3995,7063,239
"06023","CALIFORNIA",44768,21770,2305
"06025","CALIFORNIA",34678,20847,1218
"06027","CALIFORNIA",4634,4620,230
"06029","CALIFORNIA",133366,164484,7442
"06031","CALIFORNIA",18699,24072,1090
"06033","CALIFORNIA",14941,13123,748
"06035","CALIFORNIA",2799,8970,218
"06037","CALIFORNIA",3028885,1145530,89950
"06039","CALIFORNIA",23168,29378,1186
"06041","CALIFORNIA",128288,24612,2930
"06043","CALIFORNIA",4088,5950,242
"06045","CALIFORNIA",28782,13267,1291
"06047","CALIFORNIA",48991,39397,2166
"06049","CALIFORNIA",1150,3109,84
"06051","CALIFORNIA",4013,2513,212
"06053","CALIFORNIA",113953,46299,3671
"06055","CALIFORNIA",49817,20676,1657
"06057","CALIFORNIA",36359,26779,1612
"06059","CALIFORNIA",814009,676498,31606
"06061","CALIFORNIA",106869,122488,5727
"06063","CALIFORNIA",4561,6445,254
"06065","CALIFORNIA",528340,449144,19672
"06067","CALIFORNIA",440808,259405,18227
"06069","CALIFORNIA",17628,10590,612
"06071","CALIFORNIA",455859,366257,19014
"06073","CALIFORNIA",964650,600094,37399
"06075","CALIFORNIA",378156,56417,8980
"06077","CALIFORNIA",161137,121098,6257
"06079","CALIFORNIA",88310,67436,3968
"06081","CALIFORNIA",291496,75584,7171
"06083","CALIFORNIA",129963,65736,4640
"06085","CALIFORNIA",617967,214612,18162
"06087","CALIFORNIA",114246,26937,3654
"06089","CALIFORNIA",30000,60789,2141
"06091","CALIFORNIA",730,1142,59
"06093","CALIFORNIA",9593,13290,589
"06095","CALIFORNIA",131639,69306,4932
"06097","CALIFORNIA",199938,61825,6554
"06099","CALIFORNIA",105841,104145,4968
"06101","CALIFORNIA",17367,24375,902
"06103","CALIFORNIA",8911,19141,679
"06105","CALIFORNIA",2851,3188,220
"06107","CALIFORNIA",66105,77579,3201
"06109","CALIFORNIA",11978,17689,741
"06111","CALIFORNIA",251388,162207,9230
"06113","CALIFORNIA",67598,27292,2404
"06115","CALIFORNIA",11230,17676,890
"08001","COLORADO",134202,95657,6881
"08003","COLORADO",3759,3813,236
"08005","COLORADO",213607,127323,9253
"08007","COLORADO",3738,5189,217
"08009","COLORADO",317,1867,41
"08011","COLORADO",732,1503,39
"08013","COLORADO",159089,42501,4521
"08014","COLORADO",29077,16295,1260
"08015","COLORADO",7160,6222,336
"08017","COLORADO",131,993,12
"08019","COLORADO",3604,2754,190
"08021","COLORADO",1959,2286,88
"08023","COLORADO",1311,741,42
"08025","COLORADO",437,1271,42
"08027","COLORADO",1112,2474,49
"08029","COLORADO",5887,13081,402
"08031","COLORADO",313293,71618,8918
"08033","COLORADO",341,1089,19
"08035","COLORADO",104653,121270,5682
"08037","COLORADO",18588,9892,660
"08039","COLORADO",4490,14027,466
"08041","COLORADO",161941,202828,14082
"08043","COLORADO",7369,17517,671
"08045","COLORADO",15427,14717,760
"08047","COLORADO",2223,1833,130
"08049","COLORADO",4710,4883,277
"08051","COLORADO",7132,3735,323
"08053","COLORADO",255,353,24
"08055","COLORADO",2076,2203,127
"08057","COLORADO",175,681,20
"08059","COLORADO",218396,148417,10545
"08061","COLORADO",98,795,10
"08063","COLORADO",662,3144,65
"08065","COLORADO",2303,1497,161
"08067","COLORADO",20548,14233,886
"08069","COLORADO",126120,91489,6729
"08071","COLORADO",3497,4284,180
"08073","COLORADO",470,2135,46
"08075","COLORADO",2218,8087,227
"08077","COLORADO",31536,56894,2193
"08079","COLORADO",317,427,12
"08081","COLORADO",1203,5670,153
"08083","COLORADO",5836,9306,358
"08085","COLORADO",7687,16770,465
"08087","COLORADO",3876,9593,275
"08089","COLORADO",3605,5756,215
"08091","COLORADO",2365,1577,78
"08093","COLORADO",4903,6991,397
"08095","COLORADO",486,1958,41
"08097","COLORADO",8989,2780,188
"08099","COLORADO",1458,4008,95
"08101","COLORADO",43772,42252,2277
"08103","COLORADO",561,3061,69
"08105","COLORADO",2495,3660,150
"08107","COLORADO",10582,5925,369
"08109","COLORADO",1884,1413,92
"08111","COLORADO",342,202,18
"08113","COLORADO",3924,1136,87
"08115","COLORADO",301,1121,24
"08117","COLORADO",12631,5322,526
"08119","COLORADO",5278,11241,420
"08121","COLORADO",369,2595,44
"08123","COLORADO",66060,96145,4769
"08125","COLORADO",785,4107,89
"09001","CONNECTICUT",297505,168445,6446
"09003","CONNECTICUT",283368,159024,6944
"09005","CONNECTICUT",50164,55601,1779
"09007","CONNECTICUT",56848,40665,1685
"09009","CONNECTICUT",242630,169893,5460
"09011","CONNECTICUT",79459,57110,3035
"09013","CONNECTICUT",44151,34838,1725
"09015","CONNECTICUT",26706,29141,1235
"10001","DELAWARE",44552,41009,1464
"10003","DELAWARE",195034,88364,4235
"10005","DELAWARE",56682,71230,1440
"12001","FLORIDA",89704,50972,1928
"12003","FLORIDA",2037,11911,111
"12005","FLORIDA",25614,66097,1313
"12007","FLORIDA",3160,10334,138
"12009","FLORIDA",148549,207883,4332
"12011","FLORIDA",618752,333409,5511
"12013","FLORIDA",1209,5274,43
"12015","FLORIDA",42273,73243,824
"12017","FLORIDA",27092,65352,764
"12019","FLORIDA",38317,84480,1608
"12021","FLORIDA",77621,128950,1247
"12023","FLORIDA",8914,23836,292
"12027","FLORIDA",4259,8313,87
"12029","FLORIDA",1365,6759,43
"12031","FLORIDA",252556,233762,6502
"12033","FLORIDA",70929,96674,2769
"12035","FLORIDA",28161,43043,512
"12037","FLORIDA",2120,4675,54
"12039","FLORIDA",16153,7465,144
"12041","FLORIDA",1700,7895,90
"12043","FLORIDA",1385,3782,26
"12045","FLORIDA",1985,6113,65
"12047","FLORIDA",1963,3815,52
"12049","FLORIDA",2298,6122,65
"12051","FLORIDA",4929,7906,105
"12053","FLORIDA",37519,70412,991
"12055","FLORIDA",16938,34873,359
"12057","FLORIDA",376367,327398,8298
"12059","FLORIDA",924,8080,64
"12061","FLORIDA",37844,58872,768
"12063","FLORIDA",6766,15488,165
"12065","FLORIDA",3897,4479,75
"12067","FLORIDA",510,3128,20
"12069","FLORIDA",83505,125859,1950
"12071","FLORIDA",157695,233247,2957
"12073","FLORIDA",103517,57453,1959
"12075","FLORIDA",6205,16749,191
"12077","FLORIDA",694,2846,21
"12079","FLORIDA",3747,5576,57
"12081","FLORIDA",90166,124987,1805
"12083","FLORIDA",74858,127826,1692
"12085","FLORIDA",36893,61168,665
"12086","FLORIDA",617864,532833,6119
"12087","FLORIDA",21881,25693,455
"12089","FLORIDA",15564,42566,681
"12091","FLORIDA",34248,79798,2327
"12093","FLORIDA",4390,11470,94
"12095","FLORIDA",395014,245398,6991
"12097","FLORIDA",97297,73480,1659
"12099","FLORIDA",433572,334711,4875
"12101","FLORIDA",119073,179621,3276
"12103","FLORIDA",277450,276209,6056
"12105","FLORIDA",145049,194586,3621
"12107","FLORIDA",10527,25514,332
"12109","FLORIDA",63850,110946,1826
"12111","FLORIDA",84137,86831,1201
"12113","FLORIDA",27612,77385,1931
"12115","FLORIDA",120110,148370,2095
"12117","FLORIDA",132528,125241,3046
"12119","FLORIDA",29341,62761,383
"12121","FLORIDA",4485,16410,162
"12123","FLORIDA",2299,7751,77
"12125","FLORIDA",1053,5133,59
"12127","FLORIDA",130575,173821,3043
"12129","FLORIDA",5351,12874,179
"12131","FLORIDA",10338,32947,426
"12133","FLORIDA",2347,9876,104
"13001","GEORGIA",1779,6526,36
"13003","GEORGIA",825,2300,30
"13005","GEORGIA",625,4018,25
"13007","GEORGIA",652,897,6
"13009","GEORGIA",9140,8903,208
"13011","GEORGIA",932,7795,74
"13013","GEORGIA",10453,26804,664
"13015","GEORGIA",12092,37674,701
"13017","GEORGIA",2392,4110,58
"13019","GEORGIA",1269,6419,55
"13021","GEORGIA",43468,26585,749
"13023","GEORGIA",1311,4328,67
"13025","GEORGIA",699,6991,56
"13027","GEORGIA",2790,4260,50
"13029","GEORGIA",6739,14244,357
"13031","GEORGIA",11243,18386,455
"13033","GEORGIA",5209,5400,75
"13035","GEORGIA",3274,8406,91
"13037","GEORGIA",1260,923,11
"13039","GEORGIA",7967,15251,470
"13043","GEORGIA",1269,3133,29
"13045","GEORGIA",16238,37476,760
"13047","GEORGIA",6932,25167,494
"13049","GEORGIA",1103,3419,44
"13051","GEORGIA",78254,53237,1929
"13053","GEORGIA",667,880,35
"13055","GEORGIA",1854,8064,132
"13057","GEORGIA",42794,99587,2449
"13059","GEORGIA",36048,14446,839
"13061","GEORGIA",790,637,7
"13063","GEORGIA",95476,15813,1055
"13065","GEORGIA",747,2105,12
"13067","GEORGIA",221846,165459,6441
"13069","GEORGIA",4511,10578,125
"13071","GEORGIA",4187,11777,119
"13073","GEORGIA",29236,50013,1330
"13075","GEORGIA",2059,4900,76
"13077","GEORGIA",24210,51501,1088
"13079","GEORGIA",1615,4428,59
"13081","GEORGIA",2986,4987,66
"13083","GEORGIA",1261,6066,107
"13085","GEORGIA",2486,13398,197
"13087","GEORGIA",4780,6758,89
"13089","GEORGIA",308227,58373,4204
"13091","GEORGIA",2171,5843,56
"13093","GEORGIA",1911,2159,35
"13095","GEORGIA",24577,10454,280
"13097","GEORGIA",42809,25451,837
"13099","GEORGIA",2437,2722,28
"13101","GEORGIA",167,1256,18
"13103","GEORGIA",7720,23358,492
"13105","GEORGIA",2879,6226,66
"13107","GEORGIA",2884,6551,66
"13109","GEORGIA",1324,2888,35
"13111","GEORGIA",2571,12169,110
"13113","GEORGIA",33065,37952,976
"13115","GEORGIA",12008,29123,517
"13117","GEORGIA",42203,85122,1980
"13119","GEORGIA",1593,9069,103
"13121","GEORGIA",381144,137240,6275
"13123","GEORGIA",2932,13429,164
"13125","GEORGIA",155,1403,8
"13127","GEORGIA",15879,25616,489
"13129","GEORGIA",4384,19405,244
"13131","GEORGIA",3619,7034,54
"13133","GEORGIA",4088,7068,91
"13135","GEORGIA",241827,166413,5625
"13137","GEORGIA",3563,16637,232
"13139","GEORGIA",25031,64170,1322
"13141","GEORGIA",2985,1159,21
"13143","GEORGIA",1792,12331,125
"13145","GEORGIA",5457,14319,215
"13147","GEORGIA",3157,9464,106
"13149","GEORGIA",824,4516,51
"13151","GEORGIA",73276,48187,1279
"13153","GEORGIA",32232,41534,1057
"13155","GEORGIA",1008,3134,26
"13157","GEORGIA",7642,29497,531
"13159","GEORGIA",1761,5822,61
"13161","GEORGIA",1028,4695,48
"13163","GEORGIA",4061,3537,44
"13165","GEORGIA",1266,2161,28
"13167","GEORGIA",1222,2850,28
"13169","GEORGIA",4888,9965,113
"13171","GEORGIA",2615,6330,94
"13173","GEORGIA",1019,2509,48
"13175","GEORGIA",8073,14493,163
"13177","GEORGIA",4558,12007,149
"13179","GEORGIA",13099,7959,331
"13181","GEORGIA",1435,3179,36
"13183","GEORGIA",2033,3528,95
"13185","GEORGIA",20117,25691,547
"13187","GEORGIA",3126,12163,242
"13189","GEORGIA",4168,6169,118
"13191","GEORGIA",2612,4016,68
"13193","GEORGIA",2857,1783,22
"13195","GEORGIA",3411,11326,200
"13197","GEORGIA",1311,2275,38
"13199","GEORGIA",4287,6524,66
"13201","GEORGIA",749,2066,20
"13205","GEORGIA",3995,4935,33
"13207","GEORGIA",4384,11060,148
"13209","GEORGIA",979,2960,27
"13211","GEORGIA",3355,8230,122
"13213","GEORGIA",2302,12943,144
"13215","GEORGIA",49529,30049,965
