year,Office,State,RaceDate,CensusPop,Area,RedistrictedDate,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
2020,President,Alabama,20201103,"54,571",AUTAUGA,N/A,"27,770","19,838","Trump, Donald J.",Incumbent,"7,503","Biden, Joseph R. Jr.",Challenger,I,350,"Jorgensen, Jo",Challenger,79,"12,335",R,71.44,27.02,1.26,0.28,72.56,27.44,,,Write-In (Write-in) 79
2020,President,Alabama,20201103,"182,265",BALDWIN,N/A,"109,679","83,544","Trump, Donald J.",Incumbent,"24,578","Biden, Joseph R. Jr.",Challenger,I,"1,229","Jorgensen, Jo",Challenger,328,"58,966",R,76.17,22.41,1.12,0.3,77.27,22.73,,,Write-In (Write-in) 328
2020,President,Alabama,20201103,"27,457",BARBOUR,N/A,"10,518","5,622","Trump, Donald J.",Incumbent,"4,816","Biden, Joseph R. Jr.",Challenger,I,68,"Jorgensen, Jo",Challenger,12,806,R,53.45,45.79,0.65,0.11,53.86,46.14,,,Write-In (Write-in) 12
2020,President,Alabama,20201103,"22,915",BIBB,N/A,"9,595","7,525","Trump, Donald J.",Incumbent,"1,986","Biden, Joseph R. Jr.",Challenger,I,74,"Jorgensen, Jo",Challenger,10,"5,539",R,78.43,20.7,0.77,0.1,79.12,20.88,,,Write-In (Write-in) 10
2020,President,Alabama,20201103,"57,322",BLOUNT,N/A,"27,588","24,711","Trump, Donald J.",Incumbent,"2,640","Biden, Joseph R. Jr.",Challenger,I,209,"Jorgensen, Jo",Challenger,28,"22,071",R,89.57,9.57,0.76,0.1,90.35,9.65,,,Write-In (Write-in) 28
2020,President,Alabama,20201103,"10,914",BULLOCK,N/A,"4,613","1,146","Trump, Donald J.",Incumbent,"3,446","Biden, Joseph R. Jr.",Challenger,I,19,"Jorgensen, Jo",Challenger,2,"2,300",D,24.84,74.7,0.41,0.04,24.96,75.04,,,Write-In (Write-in) 2
2020,President,Alabama,20201103,"20,947",BUTLER,N/A,"9,488","5,458","Trump, Donald J.",Incumbent,"3,965","Biden, Joseph R. Jr.",Challenger,I,59,"Jorgensen, Jo",Challenger,6,"1,493",R,57.53,41.79,0.62,0.06,57.92,42.08,,,Write-In (Write-in) 6
2020,President,Alabama,20201103,"118,572",CALHOUN,N/A,"50,983","35,101","Trump, Donald J.",Incumbent,"15,216","Biden, Joseph R. Jr.",Challenger,I,553,"Jorgensen, Jo",Challenger,113,"19,885",R,68.85,29.85,1.08,0.22,69.76,30.24,,,Write-In (Write-in) 113
2020,President,Alabama,20201103,"34,215",CHAMBERS,N/A,"15,284","8,753","Trump, Donald J.",Incumbent,"6,365","Biden, Joseph R. Jr.",Challenger,I,141,"Jorgensen, Jo",Challenger,25,"2,388",R,57.27,41.64,0.92,0.16,57.9,42.1,,,Write-In (Write-in) 25
2020,President,Alabama,20201103,"25,989",CHEROKEE,N/A,"12,301","10,583","Trump, Donald J.",Incumbent,"1,624","Biden, Joseph R. Jr.",Challenger,I,82,"Jorgensen, Jo",Challenger,12,"8,959",R,86.03,13.2,0.67,0.1,86.7,13.3,,,Write-In (Write-in) 12
2020,President,Alabama,20201103,"43,643",CHILTON,N/A,"19,310","16,085","Trump, Donald J.",Incumbent,"3,073","Biden, Joseph R. Jr.",Challenger,I,123,"Jorgensen, Jo",Challenger,29,"13,012",R,83.3,15.91,0.64,0.15,83.96,16.04,,,Write-In (Write-in) 29
2020,President,Alabama,20201103,"13,859",CHOCTAW,N/A,"7,464","4,296","Trump, Donald J.",Incumbent,"3,127","Biden, Joseph R. Jr.",Challenger,I,38,"Jorgensen, Jo",Challenger,3,"1,169",R,57.56,41.89,0.51,0.04,57.87,42.13,,,Write-In (Write-in) 3
2020,President,Alabama,20201103,"25,833",CLARKE,N/A,"13,135","7,324","Trump, Donald J.",Incumbent,"5,755","Biden, Joseph R. Jr.",Challenger,I,49,"Jorgensen, Jo",Challenger,7,"1,569",R,55.76,43.81,0.37,0.05,56,44,,,Write-In (Write-in) 7
2020,President,Alabama,20201103,"13,932",CLAY,N/A,"6,930","5,601","Trump, Donald J.",Incumbent,"1,267","Biden, Joseph R. Jr.",Challenger,I,53,"Jorgensen, Jo",Challenger,9,"4,334",R,80.82,18.28,0.76,0.13,81.55,18.45,,,Write-In (Write-in) 9
2020,President,Alabama,20201103,"14,972",CLEBURNE,N/A,"7,227","6,484","Trump, Donald J.",Incumbent,675,"Biden, Joseph R. Jr.",Challenger,I,60,"Jorgensen, Jo",Challenger,8,"5,809",R,89.72,9.34,0.83,0.11,90.57,9.43,,,Write-In (Write-in) 8
2020,President,Alabama,20201103,"49,948",COFFEE,N/A,"22,275","16,899","Trump, Donald J.",Incumbent,"5,076","Biden, Joseph R. Jr.",Challenger,I,264,"Jorgensen, Jo",Challenger,36,"11,823",R,75.87,22.79,1.19,0.16,76.9,23.1,,,Write-In (Write-in) 36
2020,President,Alabama,20201103,"54,428",COLBERT,N/A,"27,886","19,203","Trump, Donald J.",Incumbent,"8,343","Biden, Joseph R. Jr.",Challenger,I,272,"Jorgensen, Jo",Challenger,68,"10,860",R,68.86,29.92,0.98,0.24,69.71,30.29,,,Write-In (Write-in) 68
2020,President,Alabama,20201103,"13,228",CONECUH,N/A,"6,441","3,442","Trump, Donald J.",Incumbent,"2,966","Biden, Joseph R. Jr.",Challenger,I,32,"Jorgensen, Jo",Challenger,1,476,R,53.44,46.05,0.5,0.02,53.71,46.29,,,Write-In (Write-in) 1
2020,President,Alabama,20201103,"11,539",COOSA,N/A,"5,479","3,631","Trump, Donald J.",Incumbent,"1,796","Biden, Joseph R. Jr.",Challenger,I,46,"Jorgensen, Jo",Challenger,6,"1,835",R,66.27,32.78,0.84,0.11,66.91,33.09,,,Write-In (Write-in) 6
2020,President,Alabama,20201103,"37,765",COVINGTON,N/A,"17,430","14,586","Trump, Donald J.",Incumbent,"2,721","Biden, Joseph R. Jr.",Challenger,I,97,"Jorgensen, Jo",Challenger,26,"11,865",R,83.68,15.61,0.56,0.15,84.28,15.72,,,Write-In (Write-in) 26
2020,President,Alabama,20201103,"13,906",CRENSHAW,N/A,"6,617","4,864","Trump, Donald J.",Incumbent,"1,700","Biden, Joseph R. Jr.",Challenger,I,44,"Jorgensen, Jo",Challenger,9,"3,164",R,73.51,25.69,0.66,0.14,74.1,25.9,,,Write-In (Write-in) 9
2020,President,Alabama,20201103,"80,406",CULLMAN,N/A,"41,851","36,880","Trump, Donald J.",Incumbent,"4,478","Biden, Joseph R. Jr.",Challenger,I,418,"Jorgensen, Jo",Challenger,75,"32,402",R,88.12,10.7,1,0.18,89.17,10.83,,,Write-In (Write-in) 75
2020,President,Alabama,20201103,"50,251",DALE,N/A,"19,738","14,303","Trump, Donald J.",Incumbent,"5,170","Biden, Joseph R. Jr.",Challenger,I,233,"Jorgensen, Jo",Challenger,32,"9,133",R,72.46,26.19,1.18,0.16,73.45,26.55,,,Write-In (Write-in) 32
2020,President,Alabama,20201103,"43,820",DALLAS,N/A,"17,864","5,524","Trump, Donald J.",Incumbent,"12,230","Biden, Joseph R. Jr.",Challenger,I,90,"Jorgensen, Jo",Challenger,20,"6,706",D,30.92,68.46,0.5,0.11,31.11,68.89,,,Write-In (Write-in) 20
2020,President,Alabama,20201103,"71,109",DEKALB,N/A,"29,356","24,767","Trump, Donald J.",Incumbent,"4,281","Biden, Joseph R. Jr.",Challenger,I,250,"Jorgensen, Jo",Challenger,58,"20,486",R,84.37,14.58,0.85,0.2,85.26,14.74,,,Write-In (Write-in) 58
2020,President,Alabama,20201103,"79,303",ELMORE,N/A,"41,030","30,164","Trump, Donald J.",Incumbent,"10,367","Biden, Joseph R. Jr.",Challenger,I,398,"Jorgensen, Jo",Challenger,101,"19,797",R,73.52,25.27,0.97,0.25,74.42,25.58,,,Write-In (Write-in) 101
2020,President,Alabama,20201103,"38,319",ESCAMBIA,N/A,"15,910","10,869","Trump, Donald J.",Incumbent,"4,918","Biden, Joseph R. Jr.",Challenger,I,94,"Jorgensen, Jo",Challenger,29,"5,951",R,68.32,30.91,0.59,0.18,68.85,31.15,,,Write-In (Write-in) 29
2020,President,Alabama,20201103,"104,430",ETOWAH,N/A,"47,728","35,528","Trump, Donald J.",Incumbent,"11,567","Biden, Joseph R. Jr.",Challenger,I,531,"Jorgensen, Jo",Challenger,102,"23,961",R,74.44,24.24,1.11,0.21,75.44,24.56,,,Write-In (Write-in) 102
2020,President,Alabama,20201103,"17,241",FAYETTE,N/A,"8,766","7,300","Trump, Donald J.",Incumbent,"1,395","Biden, Joseph R. Jr.",Challenger,I,56,"Jorgensen, Jo",Challenger,15,"5,905",R,83.28,15.91,0.64,0.17,83.96,16.04,,,Write-In (Write-in) 15
2020,President,Alabama,20201103,"31,704",FRANKLIN,N/A,"12,578","10,376","Trump, Donald J.",Incumbent,"2,086","Biden, Joseph R. Jr.",Challenger,I,106,"Jorgensen, Jo",Challenger,10,"8,290",R,82.49,16.58,0.84,0.08,83.26,16.74,,,Write-In (Write-in) 10
2020,President,Alabama,20201103,"26,790",GENEVA,N/A,"12,545","10,848","Trump, Donald J.",Incumbent,"1,595","Biden, Joseph R. Jr.",Challenger,I,90,"Jorgensen, Jo",Challenger,12,"9,253",R,86.47,12.71,0.72,0.1,87.18,12.82,,,Write-In (Write-in) 12
2020,President,Alabama,20201103,"9,045",GREENE,N/A,"4,775",875,"Trump, Donald J.",Incumbent,"3,884","Biden, Joseph R. Jr.",Challenger,I,8,"Jorgensen, Jo",Challenger,8,"3,009",D,18.32,81.34,0.17,0.17,18.39,81.61,,,Write-In (Write-in) 8
2020,President,Alabama,20201103,"15,760",HALE,N/A,"7,900","3,192","Trump, Donald J.",Incumbent,"4,663","Biden, Joseph R. Jr.",Challenger,I,37,"Jorgensen, Jo",Challenger,8,"1,471",D,40.41,59.03,0.47,0.1,40.64,59.36,,,Write-In (Write-in) 8
2020,President,Alabama,20201103,"17,302",HENRY,N/A,"9,298","6,607","Trump, Donald J.",Incumbent,"2,606","Biden, Joseph R. Jr.",Challenger,I,69,"Jorgensen, Jo",Challenger,16,"4,001",R,71.06,28.03,0.74,0.17,71.71,28.29,,,Write-In (Write-in) 16
2020,President,Alabama,20201103,"101,547",HOUSTON,N/A,"46,173","32,618","Trump, Donald J.",Incumbent,"12,917","Biden, Joseph R. Jr.",Challenger,I,533,"Jorgensen, Jo",Challenger,105,"19,701",R,70.64,27.98,1.15,0.23,71.63,28.37,,,Write-In (Write-in) 105
2020,President,Alabama,20201103,"53,227",JACKSON,N/A,"23,636","19,670","Trump, Donald J.",Incumbent,"3,717","Biden, Joseph R. Jr.",Challenger,I,208,"Jorgensen, Jo",Challenger,41,"15,953",R,83.22,15.73,0.88,0.17,84.11,15.89,,,Write-In (Write-in) 41
