"state","countyfips","cty","Clinton","Trump","pctClinton","diff2016"
"AK","02000","Alaska",93007,130415,0.416283982776987,-37408
"AL","01001","Autauga",5908,18110,0.245982180031643,-12202
"AL","01003","Baldwin",18409,72780,0.201877419425589,-54371
"AL","01005","Barbour",4848,5431,0.471641210234459,-583
"AL","01007","Bibb",1874,6733,0.217729754850703,-4859
"AL","01009","Blount",2150,22808,0.0861447231348666,-20658
"AL","01011","Bullock",3530,1139,0.756050546155494,2391
"AL","01013","Butler",3716,4891,0.431741605669804,-1175
"AL","01015","Calhoun",13197,32803,0.286891304347826,-19606
"AL","01017","Chambers",5763,7803,0.424812030075188,-2040
"AL","01019","Cherokee",1524,8809,0.147488628665441,-7285
"AL","01021","Chilton",2909,15068,0.161817878400178,-12159
"AL","01023","Choctaw",3109,4102,0.431146858965469,-993
"AL","01025","Clarke",5712,7109,0.44551907027533,-1397
"AL","01027","Clay",1234,5230,0.190903465346535,-3996
"AL","01029","Cleburne",684,5738,0.106508875739645,-5054
"AL","01031","Coffee",4194,15825,0.209500974074629,-11631
"AL","01033","Colbert",7296,16718,0.303822770050804,-9422
"AL","01035","Conecuh",3069,3413,0.473464979944462,-344
"AL","01037","Coosa",1780,3376,0.345228859581071,-1596
"AL","01039","Covington",2379,13222,0.152490224985578,-10843
"AL","01041","Crenshaw",1663,4511,0.269355361192096,-2848
"AL","01043","Cullman",3730,32734,0.10229267222466,-29004
"AL","01045","Dale",4408,13798,0.2421179830825,-9390
"AL","01047","Dallas",12826,5784,0.689199355185384,7042
"AL","01049","DeKalb",3682,21779,0.144613330191273,-18097
"AL","01051","Elmore",8436,27619,0.233975870198308,-19183
"AL","01053","Escambia",4698,10282,0.313618157543391,-5584
"AL","01055","Etowah",10350,32132,0.243632597335342,-21782
"AL","01057","Fayette",1358,6705,0.168423663648766,-5347
"AL","01059","Franklin",2197,9466,0.188373488810769,-7269
"AL","01061","Geneva",1522,9967,0.132474540865175,-8445
"AL","01063","Greene",4006,838,0.827002477291495,3168
"AL","01065","Hale",4772,3172,0.600704934541793,1600
"AL","01067","Henry",2286,5623,0.289037805032242,-3337
"AL","01069","Houston",10547,30567,0.256530622172496,-20020
"AL","01071","Jackson",3663,16643,0.180390032502709,-12980
"AL","01073","Jefferson",151581,130614,0.537149843193536,20967
"AL","01075","Lamar",1035,5819,0.151006711409396,-4784
"AL","01077","Lauderdale",9877,27735,0.262602360948633,-17858
"AL","01079","Lawrence",3611,10732,0.251760440633061,-7121
"AL","01081","Lee",20987,34321,0.379456859767122,-13334
"AL","01083","Limestone",9340,28824,0.244733256472068,-19484
"AL","01085","Lowndes",4882,1751,0.736016885270617,3131
"AL","01087","Macon",7237,1394,0.83848916695632,5843
"AL","01089","Madison",62435,89199,0.411748024849308,-26764
"AL","01091","Marengo",5607,5224,0.51768073123442,383
"AL","01093","Marion",1432,11273,0.112711530893349,-9841
"AL","01095","Marshall",4913,29217,0.14394960445356,-24304
"AL","01097","Mobile",68429,91087,0.428978911206399,-22658
"AL","01099","Monroe",4310,5771,0.427536950699335,-1461
"AL","01101","Montgomery",58669,33928,0.633595040876054,24741
"AL","01103","Morgan",11216,37392,0.230743910467413,-26176
"AL","01105","Perry",3823,1403,0.731534634519709,2420
"AL","01107","Pickens",3972,5454,0.421387651177594,-1482
"AL","01109","Pike",5039,7681,0.396147798742138,-2642
"AL","01111","Randolph",2290,7697,0.229298087513768,-5407
"AL","01113","Russell",9577,9210,0.509767392345771,367
"AL","01115","St. Clair",5550,31579,0.149478844030273,-26029
"AL","01117","Shelby",22927,72846,0.239388971839663,-49919
"AL","01119","Sumter",4739,1581,0.749841772151899,3158
"AL","01121","Talladega",12108,20596,0.370229941291585,-8488
"AL","01123","Tallapoosa",5271,12967,0.289011953065029,-7696
"AL","01125","Tuscaloosa",31746,47701,0.399587146147746,-15955
"AL","01127","Walker",4486,24208,0.156339304384192,-19722
"AL","01129","Washington",2366,6031,0.281767297844468,-3665
"AL","01131","Wilcox",4329,1737,0.713649851632048,2592
"AL","01133","Winston",871,9225,0.0862717908082409,-8354
"AR","05001","Arkansas",1939,3825,0.336398334489938,-1886
"AR","05003","Ashley",2408,5338,0.310870126516912,-2930
"AR","05005","Baxter",4163,14655,0.221224359655649,-10492
"AR","05007","Benton",27894,60751,0.314670878222122,-32857
"AR","05009","Boone",2925,12225,0.193069306930693,-9300
"AR","05011","Bradley",1317,2163,0.378448275862069,-846
"AR","05013","Calhoun",636,1554,0.29041095890411,-918
"AR","05015","Carroll",3334,6773,0.329870386860592,-3439
"AR","05017","Chicot",2350,1716,0.577963600590261,634
"AR","05019","Clark",3606,4398,0.450524737631184,-792
