date,future,subgroup,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo
2021-01-23,false,Adults,55,61.45853,48.54147,32,38.45853,25.54147
2021-01-23,false,All polls,52.9743,58.21402,47.73458,36.03907,41.27879,30.79935
2021-01-23,false,Voters,53.57021,58.83284,48.30757,36.14697,41.4096,30.88433
2021-01-24,false,Adults,55,61.45853,48.54147,32,38.45853,25.54147
2021-01-24,false,All polls,52.9743,58.21402,47.73458,36.03907,41.27879,30.79935
2021-01-24,false,Voters,53.57021,58.83284,48.30757,36.14697,41.4096,30.88433
2021-01-25,false,Adults,55,61.45853,48.54147,32,38.45853,25.54147
2021-01-25,false,All polls,54.9925,59.99842,49.98658,37.27006,42.27598,32.26414
2021-01-25,false,Voters,55.4547,60.47363,50.43578,37.35875,42.37767,32.33982
2021-01-26,false,Adults,55,61.45853,48.54147,32,38.45853,25.54147
2021-01-26,false,All polls,54.80725,59.79297,49.82153,37.49861,42.48433,32.51289
2021-01-26,false,Voters,55.25678,60.25497,50.25858,37.59433,42.59253,32.59613
2021-01-27,false,Adults,53.243714,58.364386,48.123041,31.5518,36.672473,26.431128
2021-01-27,false,All polls,53.949072,58.633175,49.264969,35.09413,39.778233,30.410028
2021-01-27,false,Voters,54.449358,59.16028,49.738435,36.011902,40.722825,31.30098
2021-01-28,false,Adults,53.111271,58.022936,48.199606,31.162567,36.074232,26.250902
2021-01-28,false,All polls,54.222706,58.79623,49.649183,34.663625,39.237149,30.090102
2021-01-28,false,Voters,55.100066,59.707971,50.492161,35.737157,40.345062,31.129252
2021-01-29,false,Adults,53.111271,58.022936,48.199606,31.162567,36.074232,26.250902
2021-01-29,false,All polls,54.281215,58.884888,49.677542,34.557801,39.161473,29.954128
2021-01-29,false,Voters,55.142022,59.780656,50.503388,35.632336,40.27097,30.993702
2021-01-30,true,Adults,53.102586,58.054765,48.150407,31.184868,36.137047,26.232689
2021-01-30,true,All polls,54.270545,58.916314,49.624777,34.574341,39.220109,29.928573
2021-01-30,true,Voters,55.129892,59.81043,50.449353,35.647054,40.327592,30.966515
2021-01-31,true,Adults,53.09386,58.119271,48.06845,31.207195,36.232606,26.181784
2021-01-31,true,All polls,54.259839,58.981606,49.538073,34.590921,39.312687,29.869154
2021-01-31,true,Voters,55.117728,59.873932,50.361525,35.661815,40.418018,30.905611
2021-02-01,true,Adults,53.085095,58.203781,47.966409,31.22955,36.348236,26.110864
2021-02-01,true,All polls,54.249098,59.067497,49.430698,34.60754,39.425939,29.78914
2021-02-01,true,Voters,55.105533,59.957966,50.253099,35.676618,40.529052,30.824184
2021-02-02,true,Adults,53.076291,58.303281,47.849301,31.25193,36.47892,26.02494
2021-02-02,true,All polls,54.238321,59.168704,49.307938,34.624197,39.55458,29.693813
2021-02-02,true,Voters,55.093304,60.057281,50.129328,35.691463,40.65544,30.727487
2021-02-03,true,Adults,53.067447,58.414629,47.720265,31.274337,36.621519,25.927155
2021-02-03,true,All polls,54.227509,59.28191,49.173108,34.640891,39.695293,29.58649
2021-02-03,true,Voters,55.081044,60.168582,49.993507,35.706351,40.793888,30.618813
2021-02-04,true,Adults,53.058564,58.535576,47.581552,31.296768,36.773781,25.819756
