ST,District,CODE,map,BIDEN_2020
AK,01,AK-01,2022,0.44738151387350006
AL,01,AL-01,2022,0.35703340457825705
AL,02,AL-02,2022,0.35134333215955815
AL,03,AL-03,2022,0.32775335967130903
AL,04,AL-04,2022,0.18797127447505133
AL,05,AL-05,2022,0.3622488177813926
AL,06,AL-06,2022,0.34812959240762287
AL,07,AL-07,2022,0.6619992484237496
AR,01,AR-01,2022,0.2892637966076925
AR,02,AR-02,2022,0.4325916518631552
AR,03,AR-03,2022,0.3792970842248405
AR,04,AR-04,2022,0.3187831055889483
AZ,01,AZ-01,2022,0.5074732745360634
AZ,02,AZ-02,2022,0.4599820228143626
AZ,03,AZ-03,2022,0.7572699459436748
AZ,04,AZ-04,2022,0.5524571717364753
AZ,05,AZ-05,2022,0.4168777591725018
AZ,06,AZ-06,2022,0.5003562457696767
AZ,07,AZ-07,2022,0.666291656282184
AZ,08,AZ-08,2022,0.43135060001484854
AZ,09,AZ-09,2022,0.36934730739521904
CA,01,CA-01,2022,0.4026254655282135
CA,02,CA-02,2022,0.7535608521214588
CA,03,CA-03,2022,0.49085515757818526
CA,04,CA-04,2022,0.6873994793723008
CA,05,CA-05,2022,0.43692916995726805
CA,06,CA-06,2022,0.5946731860416492
CA,07,CA-07,2022,0.6902212439879818
CA,08,CA-08,2022,0.7757694008736389
CA,09,CA-09,2022,0.564428359488146
CA,10,CA-10,2022,0.701055956200514
CA,11,CA-11,2022,0.8803122064485703
CA,12,CA-12,2022,0.9120898031934775
CA,13,CA-13,2022,0.555433947710573
CA,14,CA-14,2022,0.7321954404083848
CA,15,CA-15,2022,0.7922677966965156
CA,16,CA-16,2022,0.7710307278978293
CA,17,CA-17,2022,0.7418856722302822
CA,18,CA-18,2022,0.7251056618270811
CA,19,CA-19,2022,0.7025984068958437
CA,20,CA-20,2022,0.3726752289464984
CA,21,CA-21,2022,0.603493279794926
CA,22,CA-22,2022,0.5660538549855104
CA,23,CA-23,2022,0.4496574925602892
CA,24,CA-24,2022,0.6488194432808856
CA,25,CA-25,2022,0.5780659997065187
CA,26,CA-26,2022,0.6020086495776191
CA,27,CA-27,2022,0.563197078755739
CA,28,CA-28,2022,0.6727764093289207
CA,29,CA-29,2022,0.7623572654010927
CA,30,CA-30,2022,0.7354140623858167
CA,31,CA-31,2022,0.6584575099885357
CA,32,CA-32,2022,0.7074213335289065
CA,33,CA-33,2022,0.6296513866673534
CA,34,CA-34,2022,0.8289449725197519
CA,35,CA-35,2022,0.642925168573593
CA,36,CA-36,2022,0.7252746710762116
CA,37,CA-37,2022,0.8734535653650012
CA,38,CA-38,2022,0.6541193565213173
CA,39,CA-39,2022,0.6335699133889974
CA,40,CA-40,2022,0.5095409432714673
CA,41,CA-41,2022,0.4944361129053763
CA,42,CA-42,2022,0.7347363490830882
CA,43,CA-43,2022,0.8261030509573519
CA,44,CA-44,2022,0.746830348162705
CA,45,CA-45,2022,0.5315225289039912
CA,46,CA-46,2022,0.6553965015672694
CA,47,CA-47,2022,0.5566007862482344
CA,48,CA-48,2022,0.43693368881282807
CA,49,CA-49,2022,0.5583560502001199
CA,50,CA-50,2022,0.6695141581155677
CA,51,CA-51,2022,0.6397643284926844
CA,52,CA-52,2022,0.6882048837535206
CO,01,CO-01,2022,0.8135972513317027
CO,02,CO-02,2022,0.7046838942929314
CO,03,CO-03,2022,0.45773158358940597
CO,04,CO-04,2022,0.4048714670133556
CO,05,CO-05,2022,0.44750836758063
CO,06,CO-06,2022,0.6221500972747162
CO,07,CO-07,2022,0.572891668734929
CO,08,CO-08,2022,0.5234171474047725
CT,01,CT-01,2022,0.6425466874987917
CT,02,CT-02,2022,0.5585502668291134
CT,03,CT-03,2022,0.5998969012014079
CT,04,CT-04,2022,0.6582140685415595
CT,05,CT-05,2022,0.5545333930847238
DC,01,DC-01,2022,0.9446695421689736
DE,01,DE-01,2022,0.5962674405347098
FL,01,FL-01,2022,0.3356173481266006
FL,02,FL-02,2022,0.44445948847799965
FL,03,FL-03,2022,0.42879671593481233
FL,04,FL-04,2022,0.46608090216130554
FL,05,FL-05,2022,0.4200838876762901
FL,06,FL-06,2022,0.3805659010060819
FL,07,FL-07,2022,0.4719741565462418
FL,08,FL-08,2022,0.4108106807742382
FL,09,FL-09,2022,0.5880115804543325
FL,10,FL-10,2022,0.660743811300274
FL,11,FL-11,2022,0.4451763942543935
FL,12,FL-12,2022,0.354973116041896
FL,13,FL-13,2022,0.46581915465927526
FL,14,FL-14,2022,0.5970208922178372
FL,15,FL-15,2022,0.48414222853289984
FL,16,FL-16,2022,0.45510307187592414
FL,17,FL-17,2022,0.41962537118594095
FL,18,FL-18,2022,0.3847753767999914
FL,19,FL-19,2022,0.39411565130168213
FL,20,FL-20,2022,0.763420946700074
FL,21,FL-21,2022,0.45247848147293107
FL,22,FL-22,2022,0.5886196329281365
FL,23,FL-23,2022,0.5663319558104598
FL,24,FL-24,2022,0.7466504877261663
FL,25,FL-25,2022,0.6001626745827275
FL,26,FL-26,2022,0.40786206838216016
FL,27,FL-27,2022,0.49839222042897124
FL,28,FL-28,2022,0.46808429195790147
GA,01,GA-01,2022,0.43217057923030694
GA,02,GA-02,2022,0.5523459139971785
GA,03,GA-03,2022,0.34756421665132103
GA,04,GA-04,2022,0.7917322773781406
GA,05,GA-05,2022,0.8366248603609314
GA,06,GA-06,2022,0.4250199921621276
GA,07,GA-07,2022,0.630709902391133
GA,08,GA-08,2022,0.36042827794248383
GA,09,GA-09,2022,0.3081047130237155
GA,10,GA-10,2022,0.38137358592736914
GA,11,GA-11,2022,0.4222685333540451
GA,12,GA-12,2022,0.44866527068424156
GA,13,GA-13,2022,0.8047922877402386
GA,14,GA-14,2022,0.31047108926337563
HI,01,HI-01,2022,0.6496503804858221
HI,02,HI-02,2022,0.650972455263733
IA,01,IA-01,2022,0.4852770666093229
IA,02,IA-02,2022,0.4775988190177537
IA,03,IA-03,2022,0.49824057051710396
IA,04,IA-04,2022,0.3676123360941713
