year,st,dem,rep,other
2016,AL,748709,1335104,3631
2016,AK,36200,138149,137092
2016,AS,NA,NA,NA
2016,AZ,1031245,1359267,140218
2016,AR,400602,661984,44936
2016,CA,12244176,NA,NA
2016,CO,1370710,1215318,157001
2016,CT,920766,552621,122889
2016,DE,NA,NA,NA
2016,DC,NA,NA,NA
2016,FL,4122088,4835191,344541
2016,GA,1599726,2135806,163073
2016,GU,NA,NA,NA
2016,HI,306604,92653,17305
2016,ID,188249,449017,41677
2016,IL,3012940,2184692,294246
2016,IN,1158947,1423991,149608
2016,IA,549460,926007,65569
2016,KS,379740,732376,65806
2016,KY,813246,1090177,42
2016,LA,1043104,1722080,52458
2016,ME,NA,NA,NA
2016,MD,1659907,972557,93706
2016,MA,NA,NA,NA
2016,MI,NA,NA,NA
2016,MN,NA,NA,NA
2016,MS,NA,NA,NA
2016,MO,1300200,1378458,123983
2016,MT,NA,NA,NA
2016,NE,NA,NA,NA
2016,NV,521994,495079,91221
2016,NH,354649,353632,30859
2016,NJ,NA,NA,NA
2016,NM,NA,NA,NA
2016,NY,4784218,1723920,888167
2016,NC,2128165,2395376,167592
2016,ND,58116,268788,15597
2016,MP,NA,NA,NA
2016,OH,1996908,3118567,258689
2016,OK,355911,980892,111244
2016,OR,1105119,651106,196253
2016,PA,2865012,2951702,241797
2016,PR,NA,NA,NA
2016,RI,NA,NA,NA
2016,SC,704540,1241609,103744
2016,SD,104140,265516,NA
2016,TN,NA,NA,NA
2016,TX,NA,NA,NA
2016,UT,301860,760241,53507
2016,VT,192243,103637,17929
2016,VI,NA,NA,NA
2016,VA,NA,NA,NA
2016,WA,1913979,1329338,NA
2016,WV,NA,NA,NA
2016,WI,1380335,1479471,88935
2016,WY,NA,NA,NA
2014,AL,NA,795606,22484
2014,AK,129431,135445,17524
2014,AS,NA,NA,NA
2014,AZ,NA,NA,NA
2014,AR,334174,478819,34512
2014,CA,NA,NA,NA
2014,CO,944203,983891,112964
2014,CT,NA,NA,NA
2014,DE,130655,98823,4560
2014,DC,NA,NA,NA
2014,FL,NA,NA,NA
2014,GA,1160811,1358088,48906
2014,GU,NA,NA,NA
2014,HI,246827,98006,8941
2014,ID,151574,285596,NA
2014,IL,1929637,1538522,135360
2014,IN,NA,NA,NA
2014,IA,494370,588575,46755
2014,KS,NA,460350,405841
2014,KY,584698,806787,44383
2014,LA,1200443,1532156,13034
2014,ME,190244,413495,269
2014,MD,NA,NA,NA
2014,MA,1289944,791950,3078
2014,MI,1704936,1290199,126640
2014,MN,1053205,850227,78096
2014,MS,239439,378481,13938
2014,MO,NA,NA,NA
2014,MT,148184,213709,7933
2014,NE,170127,347636,22574
2014,NV,NA,NA,NA
2014,NH,251184,235347,1628
2014,NJ,1043866,791297,34372
2014,NM,286409,229097,NA
2014,NY,NA,NA,NA
2014,NC,1377651,1423259,114371
2014,ND,NA,NA,NA
2014,MP,NA,NA,NA
2014,OH,NA,NA,NA
2014,OK,472230,1115168,54225
2014,OR,814537,538847,108234
2014,PA,NA,NA,NA
2014,PR,NA,NA,NA
2014,RI,223675,92684,539
2014,SC,916309,1430156,132592
2014,SD,82456,140741,56215
2014,TN,437848,850087,86130
2014,TX,1597387,2861531,189440
2014,UT,NA,NA,NA
2014,VT,NA,NA,NA
2014,VI,NA,NA,NA
2014,VA,1073667,1055940,54866
2014,WA,NA,NA,NA
2014,WV,156360,281820,15509
2014,WI,NA,NA,NA
2014,WY,29377,121554,17459
2012,AL,NA,NA,NA
2012,AK,NA,NA,NA
2012,AS,NA,NA,NA
2012,AZ,1036542,1104457,102423
2012,AR,NA,NA,NA
2012,CA,7864624,4713887,NA
2012,CO,NA,NA,NA
2012,CT,792983,604569,114212
2012,DE,265415,115700,18492
2012,DC,NA,NA,NA
2012,FL,4523451,3458267,208228
2012,GA,NA,NA,NA
2012,GU,NA,NA,NA
2012,HI,269489,160994,NA
2012,ID,NA,NA,NA
2012,IL,NA,NA,NA
2012,IN,1281181,1133621,145300
2012,IA,NA,NA,NA
2012,KS,NA,NA,NA
2012,KY,NA,NA,NA
2012,LA,NA,NA,NA
2012,ME,92900,215399,392300
2012,MD,1474028,693291,465896
2012,MA,1696346,1458048,2159
2012,MI,2735826,1767386,149706
2012,MN,1854595,867974,120638
2012,MS,503467,709626,28475
2012,MO,1494125,1066159,165509
2012,MT,236123,218051,31892
2012,NE,332979,455593,NA
2012,NV,446080,457656,94069
2012,NH,NA,NA,NA
2012,NJ,1985783,1329405,59480
2012,NM,395717,351260,28816
2012,NY,4432525,1517578,729575
2012,NC,NA,NA,NA
2012,ND,161163,158282,1406
2012,MP,NA,NA,NA
2012,OH,2762766,2435744,250617
2012,OK,NA,NA,NA
2012,OR,NA,NA,NA
2012,PA,3021364,2509132,98995
2012,PR,NA,NA,NA
2012,RI,271034,146222,933
2012,SC,NA,NA,NA
2012,SD,NA,NA,NA
2012,TN,705882,1506443,109152
2012,TX,3194927,4440137,229758
2012,UT,301873,657608,47420
2012,VT,0,72898,219864
2012,VI,NA,NA,NA
2012,VA,2010067,1785542,6587
2012,WA,1855493,1213924,NA
2012,WV,399898,240787,19517
2012,WI,1547104,1380126,82181
2012,WY,53019,185250,6593
