state,sta,year,rc,plan,ed,srce,dem,rep,oth1,oth2,remng,tvot,wf,mov,mplur,dempct,reppct,othpct,dempmp,reppmp
Alabama,AL,1952,P,AL52H,1,PW083,26519,19396,0,0,0,45915,D,15.52000046,7123,57.75999832,42.24000168,0,57.79999924,42.20000076
Alabama,AL,1952,P,AL52H,2,PW083,30947,18025,0,0,0,48972,D,26.37999916,12922,63.18999863,36.81000137,0,63.20000076,36.79999924
Alabama,AL,1952,P,AL52H,3,PW083,26048,10014,0,0,0,36062,D,44.45999908,16034,72.23000336,27.77000046,0,72.19999695,27.79999924
Alabama,AL,1952,P,AL52H,4,PW083,26591,14865,0,0,0,41456,D,28.28000069,11726,64.13999939,35.86000061,0,64.09999847,35.90000153
Alabama,AL,1952,P,AL52H,5,PW083,40612,15255,0,0,0,55867,D,45.38000107,25357,72.69000244,27.30999947,0,72.69999695,27.29999924
Alabama,AL,1952,P,AL52H,6,PW083,19020,12021,0,0,0,31041,D,22.54000092,6999,61.27000046,38.72999954,0,61.29999924,38.70000076
Alabama,AL,1952,P,AL52H,7,PW083,29290,17513,0,0,0,46803,D,25.15999985,11777,62.58000183,37.41999817,0,62.59999847,37.40000153
Alabama,AL,1952,P,AL52H,8,PW083,38434,9879,0,0,0,48313,D,59.09999847,28555,79.55000305,20.45000076,0,79.59999847,20.39999962
Alabama,AL,1952,P,AL52H,9,PW083,38111,32254,0,0,0,70365,D,8.319999695,5857,54.15999985,45.84000015,0,54.20000076,45.79999924
Arkansas,AR,1952,P,AR52H,1,PW083,36550,23539,0,0,0,60089,D,21.65999985,13011,60.83000183,39.16999817,0,60.79999924,39.20000076
Arkansas,AR,1952,P,AR52H,2,PW083,25517,16202,0,0,0,41719,D,22.31999969,9315,61.15999985,38.84000015,0,61.20000076,38.79999924
Arkansas,AR,1952,P,AR52H,3,PW083,38856,51867,0,0,0,90723,R,14.34000015,13011,42.83000183,57.16999817,0,42.79999924,57.20000076
Arkansas,AR,1952,P,AR52H,4,PW083,46746,26629,0,0,0,73375,D,27.42000008,20117,63.70999908,36.29000092,0,63.70000076,36.29999924
Arkansas,AR,1952,P,AR52H,5,PW083,36805,33692,0,0,0,70497,D,4.420000076,3113,52.20999908,47.79000092,0,52.20000076,47.79999924
Arkansas,AR,1952,P,AR52H,6,PW083,41826,27362,0,0,0,69188,D,20.89999962,14464,60.45000076,39.54999924,0,60.5,39.5
Arizona,AZ,1952,P,AZ52H,1,PW083,50285,77249,0,0,0,127534,R,21.13999939,26964,39.43000031,60.56999969,0,39.40000153,60.59999847
Arizona,AZ,1952,P,AZ52H,2,PW083,58243,74793,0,0,0,133036,R,12.43999958,16550,43.77999878,56.22000122,0,43.79999924,56.20000076
