year,state,ecvotes,dem,rep,other,whig,lib,green,independent,reform,socialist,progressive,prohibition,populist,greenback,amerind,dixiecrat,constitution,southdem,whigwhite,whigwebster,whigamer,freesoil,liberty
1836,Ohio,21,96238,NA,1137,104958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
1836,Pennsylvania,30,91457,NA,0,87235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
1836,Rhode Island,4,2964,NA,0,2710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
1836,Tennessee,15,26170,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36027,0,NA,NA,NA
1836,Vermont,7,14037,NA,0,20994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
1836,Virginia,23,30556,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23384,0,NA,NA,NA
1840,Alabama,7,33996,NA,0,28515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1840,Arkansas,3,6679,NA,0,5160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1840,Connecticut,8,25281,NA,0,31598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1840,Delaware,3,4872,NA,13,5967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1840,Georgia,11,31983,NA,0,40339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1840,Illinois,5,47441,NA,160,45574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1840,Indiana,9,51604,NA,0,65302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1840,Kentucky,15,32616,NA,0,58488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1840,Louisiana,5,7616,NA,0,11296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1840,Maine,10,46190,NA,0,46612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1840,Maryland,10,28752,NA,0,33528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1840,Massachusetts,14,52355,NA,1618,72852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1840,Michigan,3,21096,NA,321,22933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1840,Mississippi,4,17010,NA,0,19515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1840,Missouri,4,29969,NA,0,22954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1840,New Hampshire,7,32774,NA,872,26310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1840,New Jersey,8,31034,NA,69,33351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1840,New York,42,212733,NA,2809,226001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1840,North Carolina,15,34168,NA,0,46567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1840,Ohio,21,124782,NA,903,148157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1840,Pennsylvania,30,143676,NA,340,144010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1840,Rhode Island,4,3301,NA,42,5278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1840,Tennessee,15,47951,NA,0,60194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1840,Vermont,7,18009,NA,319,32445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1840,Virginia,23,43757,NA,0,42637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1844,Alabama,9,37401,NA,0,26002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1844,Arkansas,3,9546,NA,0,5604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1844,Connecticut,6,29841,NA,0,32832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1943
1844,Delaware,3,5970,NA,6,6271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1844,Georgia,10,44147,NA,0,42100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1844,Illinois,9,58795,NA,939,45854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3469
1844,Indiana,12,70181,NA,0,67867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2106
1844,Kentucky,12,51988,NA,0,61249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1844,Louisiana,6,13782,NA,0,13083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1844,Maine,9,45719,NA,0,34378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4836
1844,Maryland,8,32706,NA,0,35984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1844,Massachusetts,12,53039,NA,1106,67062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10830
1844,Michigan,5,27737,NA,0,24375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3639
1844,Mississippi,6,25846,NA,0,19158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1844,Missouri,7,41322,NA,0,31200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1844,New Hampshire,6,27160,NA,0,17866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4161
1844,New Jersey,7,37495,NA,0,38318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131
1844,New York,36,237588,NA,0,232482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15812
1844,North Carolina,11,39287,NA,2,43232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1844,Ohio,23,149061,NA,0,155113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8050
1844,Pennsylvania,26,167447,NA,0,161125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000
1844,Rhode Island,4,4867,NA,0,7322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107
1844,Tennessee,13,59917,NA,0,60040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1844,Vermont,6,18049,NA,30,26780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3970
1844,Virginia,17,50679,NA,0,44860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1848,Alabama,9,31173,NA,4,30482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1848,Arkansas,3,9301,NA,0,7587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1848,Connecticut,6,27051,NA,24,30318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5005,NA
1848,Delaware,3,5910,NA,0,6440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA
1848,Florida,3,3083,NA,0,4120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1848,Georgia,10,44785,NA,0,47532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1848,Illinois,9,55952,NA,89,52853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15702,NA
1848,Indiana,12,74745,NA,0,69907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8100,NA
1848,Iowa,4,11238,NA,0,9930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1103,NA
1848,Kentucky,12,49720,NA,0,67145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1848,Louisiana,6,15379,NA,0,18487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1848,Maine,9,40195,NA,0,35273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12157,NA
1848,Maryland,8,34528,NA,0,37702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,NA
1848,Massachusetts,12,35281,NA,62,61072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38333,NA
1848,Michigan,5,30742,NA,0,23947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10393,NA
1848,Mississippi,6,26545,NA,0,25911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1848,Missouri,7,40077,NA,0,32671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1848,New Hampshire,6,27763,NA,0,14781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7560,NA
1848,New Jersey,7,36901,NA,0,40015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,819,NA
1848,New York,36,114319,NA,2545,218583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120497,NA
1848,North Carolina,11,35772,NA,26,44054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1848,Ohio,23,154773,NA,0,138359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35347,NA
1848,Pennsylvania,26,171976,NA,0,185313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11263,NA
1848,Rhode Island,4,3646,NA,0,6779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,730,NA
1848,Tennessee,13,58142,NA,0,64321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1848,Texas,4,10668,NA,0,4509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1848,Vermont,6,10948,NA,5,23132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13837,NA
1848,Virginia,17,46739,NA,0,45265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1848,Wisconsin,4,15001,NA,0,13747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10418,NA
1852,Alabama,9,26881,NA,2205,15061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1852,Arkansas,4,12173,NA,0,7404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1852,California,4,40721,NA,56,35972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA
1852,Connecticut,6,33249,NA,12,30359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3161,NA
1852,Delaware,3,6318,NA,0,6293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA
1852,Florida,3,4318,NA,0,2875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1852,Georgia,10,40516,NA,5450,16660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1852,Illinois,11,80378,NA,0,64733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9863,NA
1852,Indiana,13,95340,NA,0,80901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6929,NA
1852,Iowa,4,17763,NA,139,15856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1606,NA
1852,Kentucky,12,53949,NA,0,57428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,NA
1852,Louisiana,6,18647,NA,0,17255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1852,Maine,8,41609,NA,0,32543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8030,NA
1852,Maryland,8,40022,NA,0,35077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA
1852,Massachusetts,13,44569,NA,1828,52683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28023,NA
1852,Michigan,6,41842,NA,0,33860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7237,NA
1852,Mississippi,7,26896,NA,0,17558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1852,Missouri,9,38817,NA,0,29984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1852,New Hampshire,5,28503,NA,0,15486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6546,NA
1852,New Jersey,7,44305,NA,0,38556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359,NA
1852,New York,35,262083,NA,0,234882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25329,NA
1852,North Carolina,10,39788,NA,60,39043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1852,Ohio,23,168933,NA,0,152523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31732,NA
1852,Pennsylvania,27,198562,NA,1678,179104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8495,NA
1852,Rhode Island,4,8735,NA,0,7626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,644,NA
1852,Tennessee,12,56900,NA,0,58586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1852,Texas,4,13552,NA,0,4995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1852,Vermont,5,13044,NA,52,22173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8621,NA
1852,Virginia,15,73872,NA,0,58732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1852,Wisconsin,5,33658,NA,0,22210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8814,NA
1856,Alabama,9,46739,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28552,NA,NA
1856,Arkansas,4,21910,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10732,NA,NA
1856,California,4,53342,20704,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36195,NA,NA
1856,Connecticut,6,34997,42717,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2615,NA,NA
1856,Delaware,3,8004,310,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6275,NA,NA
1856,Florida,3,6358,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4833,NA,NA
1856,Georgia,10,56581,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42439,NA,NA
1856,Illinois,11,105528,96275,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37531,NA,NA
1856,Indiana,13,118670,94375,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22386,NA,NA
1856,Iowa,4,37568,45073,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9669,NA,NA
1856,Kentucky,12,74642,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67416,NA,NA
1856,Louisiana,6,22164,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20709,NA,NA
1856,Maine,8,39140,67279,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3270,NA,NA
1856,Maryland,8,39123,285,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47452,NA,NA
1856,Massachusetts,13,39244,108172,3006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19626,NA,NA
1856,Michigan,6,52139,71762,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1660,NA,NA
1856,Mississippi,7,35456,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24191,NA,NA
1856,Missouri,9,57964,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48522,NA,NA
1856,New Hampshire,5,31891,37473,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410,NA,NA
1856,New Jersey,7,46943,28338,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24115,NA,NA
1856,New York,35,195878,276004,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124604,NA,NA
1856,North Carolina,10,48243,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36720,NA,NA
1856,Ohio,23,170874,187497,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28126,NA,NA
1856,Pennsylvania,27,230686,147286,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82189,NA,NA
1856,Rhode Island,4,6680,11467,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1675,NA,NA
1856,Tennessee,12,69704,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63878,NA,NA
1856,Texas,4,31169,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15639,NA,NA
1856,Vermont,5,10577,39561,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,545,NA,NA
1856,Virginia,15,90083,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60150,NA,NA
1856,Wisconsin,5,52843,66090,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,579,NA,NA
1860,Alabama,9,13618,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27835,48669,NA,NA,NA,NA,NA
1860,Arkansas,4,5357,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20063,28732,NA,NA,NA,NA,NA
1860,California,4,37999,38733,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9111,33969,NA,NA,NA,NA,NA
1860,Connecticut,6,17364,43486,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3337,16558,NA,NA,NA,NA,NA
1860,Delaware,3,1066,3822,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3888,7339,NA,NA,NA,NA,NA
1860,Florida,3,223,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4801,8277,NA,NA,NA,NA,NA
1860,Georgia,10,11581,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42960,52176,NA,NA,NA,NA,NA
1860,Illinois,11,160215,172171,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4914,2331,NA,NA,NA,NA,NA
1860,Indiana,13,115509,139033,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5306,12295,NA,NA,NA,NA,NA
1860,Iowa,4,55639,70302,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1763,1035,NA,NA,NA,NA,NA
1860,Kentucky,12,25651,1364,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66058,53143,NA,NA,NA,NA,NA
1860,Louisiana,6,7625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20204,22681,NA,NA,NA,NA,NA
1860,Maine,8,29693,62811,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2046,6368,NA,NA,NA,NA,NA
1860,Maryland,8,5966,2294,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41760,42482,NA,NA,NA,NA,NA
1860,Massachusetts,13,34370,106684,328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22331,6163,NA,NA,NA,NA,NA
1860,Michigan,6,64889,88450,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405,805,NA,NA,NA,NA,NA
1860,Minnesota,4,11920,22069,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,748,NA,NA,NA,NA,NA
1860,Mississippi,7,3282,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25045,40768,NA,NA,NA,NA,NA
1860,Missouri,9,58801,17028,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58372,31362,NA,NA,NA,NA,NA
1860,New Hampshire,5,25887,37519,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412,2125,NA,NA,NA,NA,NA
