year,state,ecvotes,dem,rep,other,whig,lib,green,independent,reform,socialist,progressive,prohibition,populist,greenback,amerind,dixiecrat,constitution,southdem,whigwhite,whigwebster,whigamer,freesoil,liberty
1836,Alabama,7,20638,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16658,0,NA,NA,NA
1836,Arkansas,3,2380,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1334,0,NA,NA,NA
1836,Connecticut,8,19294,NA,0,18799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
1836,Delaware,3,4154,NA,5,4736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
1836,Georgia,11,22778,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24481,0,NA,NA,NA
1836,Illinois,5,18369,NA,0,15220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
1836,Indiana,9,32478,NA,0,41281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
1836,Kentucky,15,33229,NA,0,36861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
1836,Louisiana,5,3842,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3583,0,NA,NA,NA
1836,Maine,10,22825,NA,1112,14803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
1836,Maryland,10,22267,NA,0,25852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
1836,Massachusetts,14,33486,NA,45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,41201,NA,NA,NA
1836,Michigan,3,7122,NA,0,5545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
1836,Mississippi,4,10297,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9782,0,NA,NA,NA
1836,Missouri,4,10995,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7337,0,NA,NA,NA
1836,New Hampshire,7,18697,NA,0,6228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
1836,New Jersey,8,25592,NA,0,26137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
1836,New York,42,166795,NA,0,138548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
1836,North Carolina,15,26631,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23521,0,NA,NA,NA
