st,district,year,rep,dem,other,total
AL,1,1956,25386,26785,,52171
AL,2,1956,20905,28243,,49148
AL,3,1956,11496,25807,,37303
AL,4,1956,18578,26455,,45033
AL,5,1956,22765,41925,,64690
AL,6,1956,14042,18010,,32052
AL,7,1956,24929,30269,,55198
AL,8,1956,13898,44746,,58644
AL,9,1956,43695,38604,,82299
AZ,1,1956,92140,54010,,146150
AZ,2,1956,84850,58870,,143720
AR,1,1956,23366,33978,,57344
AR,2,1956,16731,24505,,41236
AR,3,1956,49666,37929,,87595
AR,4,1956,30609,43699,,74308
AR,5,1956,33957,34898,,68855
AR,6,1956,31958,38268,,70226
CA,1,1956,117398,78069,,195467
CA,2,1956,81411,74300,,155711
CA,3,1956,94079,105012,,199091
CA,4,1956,114783,78099,,192882
CA,5,1956,58865,83667,,142532
CA,6,1956,92836,96636,,189472
CA,7,1956,80822,67813,,148635
CA,8,1956,112089,106220,,218309
CA,9,1956,100049,63637,,163686
CA,10,1956,131018,87303,,218321
CA,11,1956,71186,64981,,136167
CA,12,1956,68280,87762,,156042
CA,13,1956,103373,74540,,177913
CA,14,1956,78466,75357,,153823
CA,15,1956,94739,77966,,172705
CA,16,1956,83544,51181,,134725
CA,17,1956,129811,116263,,246074
CA,18,1956,101583,72446,,174029
CA,19,1956,64187,101097,,165284
CA,20,1956,87054,34699,,121753
CA,21,1956,150895,96384,,247279
CA,22,1956,97317,66995,,164312
CA,23,1956,84509,97659,,182168
CA,24,1956,79645,57344,,136989
CA,25,1956,169444,96817,,266261
CA,26,1956,77523,123048,,200571
CA,27,1956,86263,64946,,151209
CA,28,1956,166453,82605,,249058
CA,29,1956,67292,42295,,109587
CA,30,1956,132833,75623,,208456
CO,1,1956,121402,93812,,215214
CO,2,1956,133263,75670,,208933
CO,3,1956,89862,65685,,155547
CO,4,1956,49952,28830,,78782
CT,1,1956,175894,126923,,302817
CT,2,1956,104858,63832,,168690
CT,3,1956,134096,78107,,212203
CT,4,1956,199841,84890,,284731
CT,5,1956,97148,51327,,148475
CT,6,1956,0,0,,0
DE,1,1956,98057,79421,,177478
FL,1,1956,129999,72339,,202338
FL,2,1956,55853,55175,,111028
FL,3,1956,40122,71616,,111738
FL,4,1956,134275,109886,,244161
FL,5,1956,107515,56923,,164438
FL,6,1956,104832,45629,,150461
FL,7,1956,55826,34573,,90399
FL,8,1956,22427,34230,,56657
GA,1,1956,22910,32111,,55021
GA,2,1956,11453,34929,,46382
GA,3,1956,16254,41827,,58081
GA,4,1956,12067,44429,,56496
GA,5,1956,53528,82792,,136320
GA,6,1956,13518,38413,,51931
GA,7,1956,34212,51248,,85460
GA,8,1956,13856,41741,,55597
GA,9,1956,21917,37641,,59558
GA,10,1956,16947,35963,,52910
ID,1,1956,63291,48281,,111572
ID,2,1956,103688,57587,,161275
IL,1,1956,38917,68266,,107183
IL,2,1956,81169,81570,,162739
IL,3,1956,114807,72862,,187669
IL,4,1956,173881,93785,,267666
IL,5,1956,82472,79430,,161902
IL,6,1956,69686,86990,,156676
IL,7,1956,46624,89742,,136366
IL,8,1956,63438,67360,,130798
IL,9,1956,78903,64738,,143641
IL,10,1956,149845,63861,,213706
IL,11,1956,115272,61000,,176272
IL,12,1956,113073,92332,,205405
IL,13,1956,241890,88164,,330054
IL,14,1956,172755,50771,,223526
IL,15,1956,113570,54247,,167817
IL,16,1956,118278,55360,,173638
IL,17,1956,114860,56504,,171364
IL,18,1956,98216,56432,,154648
IL,19,1956,94324,63188,,157512
IL,20,1956,84124,54474,,138598
IL,21,1956,105984,77091,,183075
IL,22,1956,97132,60201,,157333
IL,23,1956,94493,64260,,158753
IL,24,1956,80941,103192,,184133
IL,25,1956,88646,69862,,158508
IN,1,1956,92803,85000,,177803
IN,2,1956,105309,48597,,153906
IN,3,1956,121041,86330,,207371
IN,4,1956,104003,48832,,152835
IN,5,1956,121278,80169,,201447
IN,6,1956,92593,64318,,156911
IN,7,1956,91061,63536,,154597
IN,8,1956,107302,82492,,189794
IN,9,1956,79713,54927,,134640
IN,10,1956,105142,70605,,175747
IN,11,1956,162566,99102,,261668
IA,1,1956,103643,68351,,171994
IA,2,1956,119965,76040,,196005
IA,3,1956,105418,68907,,174325
IA,4,1956,66515,52734,,119249
IA,5,1956,98418,76259,,174677
IA,6,1956,78356,60823,,139179
IA,7,1956,72957,47904,,120861
IA,8,1956,83915,50840,,134755
KS,1,1956,94672,41674,,136346
KS,2,1956,109451,70169,,179620
KS,3,1956,57452,34480,,91932
KS,4,1956,142182,75980,,218162
KS,5,1956,89520,42289,,131809
KS,6,1956,73511,31725,,105236
KY,1,1956,43887,74549,,118436
KY,2,1956,61113,49515,,110628
KY,3,1956,119262,83483,,202745
KY,4,1956,50306,45894,,96200
KY,5,1956,62626,48548,,111174
KY,6,1956,70077,67188,,137265
KY,7,1956,81313,73408,,154721
KY,8,1956,85608,33868,,119476
LA,1,1956,61679,43256,,104935
LA,2,1956,68011,46877,,114888
LA,3,1956,35465,24475,,59940
LA,4,1956,36090,18720,,54810
LA,5,1956,20916,15032,,35948
LA,6,1956,46442,42476,,88918
LA,7,1956,35172,33848,,69020
LA,8,1956,25272,19293,,44565
ME,1,1956,97760,44302,,142062
ME,2,1956,82838,37709,,120547
ME,3,1956,68640,20457,,89097
MD,1,1956,48932,30015,,78947
MD,2,1956,128427,59281,,187708
MD,3,1956,39718,40882,,80600
MD,4,1956,60158,35053,,95211
MD,5,1956,90910,71110,,162020
MD,6,1956,116137,74607,,190744
MD,7,1956,75456,61665,,137121
MA,1,1956,95007,55549,,150556
MA,2,1956,98745,73653,,172398
MA,3,1956,93923,69408,,163331
MA,4,1956,113489,64369,,177858
MA,5,1956,130971,76225,,207196
MA,6,1956,105615,55320,,160935
MA,7,1956,64593,74680,,139273
MA,8,1956,107091,64653,,171744
MA,9,1956,128025,59072,,187097
MA,10,1956,105056,78669,,183725
MA,11,1956,55361,66129,,121490
MA,12,1956,50235,74055,,124290
MA,13,1956,130212,71143,,201355
MA,14,1956,114874,65265,,180139
MI,1,1956,29141,109408,,138549
MI,2,1956,114246,56874,,171120
MI,3,1956,108518,51300,,159818
MI,4,1956,95783,42740,,138523
MI,5,1956,123580,58330,,181910
MI,6,1956,140957,93976,,234933
MI,7,1956,131620,89492,,221112
MI,8,1956,99919,48635,,148554
MI,9,1956,77225,46646,,123871
MI,10,1956,79060,35157,,114217
MI,11,1956,62044,35637,,97681
MI,12,1956,45922,36592,,82514
MI,13,1956,44591,85149,,129740
MI,14,1956,110173,109794,,219967
MI,15,1956,52682,106011,,158693
MI,16,1956,124131,159609,,283740
MI,17,1956,121065,94647,,215712
MI,18,1956,152990,99901,,252891
MN,1,1956,89143,54218,,143361
MN,2,1956,91840,52635,,144475
MN,3,1956,126427,114102,,240529
MN,4,1956,80701,87784,,168485
MN,5,1956,81498,59734,,141232
MN,6,1956,73124,53469,,126593
MN,7,1956,68306,59079,,127385
MN,8,1956,56368,84853,,141221
MN,9,1956,51890,51651,,103541
MS,1,1956,8314,34447,,42761
MS,2,1956,4446,19935,,24381
MS,3,1956,6287,12281,,18568
MS,4,1956,15271,19923,,35194
MS,5,1956,7039,27187,,34226
MS,6,1956,19328,30680,,50008
MO,1,1956,81951,127080,,209031
MO,2,1956,135393,106434,,241827
MO,3,1956,50822,90577,,141399
MO,4,1956,99354,92554,,191908
MO,5,1956,63136,73782,,136918
MO,6,1956,86834,78456,,165290
MO,7,1956,111816,71261,,183077
MO,8,1956,66190,64850,,131040
MO,9,1956,89931,83716,,173647
MO,10,1956,51349,62068,,113417
MO,11,1956,77523,67495,,145018
MT,1,1956,68014,49268,,117282
MT,2,1956,86919,66970,,153889
NE,1,1956,108486,54894,,163380
NE,2,1956,90716,59361,,150077
NE,3,1956,89700,42826,,132526
NE,4,1956,89206,41948,,131154
NV,1,1956,56049,40640,,96689
NH,1,1956,92122,50684,,142806
NH,2,1956,84397,39680,,124077
NJ,1,1956,129804,104435,,234239
NJ,2,1956,85652,44847,,130499
NJ,3,1956,150710,67029,,217739
NJ,4,1956,94174,76942,,171116
NJ,5,1956,175723,73237,,248960
NJ,6,1956,146228,67540,,213768
NJ,7,1956,169297,56638,,225935
NJ,8,1956,98280,61155,,159435
