year,termed,no_election,termyear,inc_yrs,initials,incumbent,inc_party,popvote
1842,NA,NA,2,2,Tyl,Tyler,Whig,NA
1843,NA,NA,3,3,Tyl,Tyler,Whig,NA
1844,NA,14,4,4,Tyl,Tyler,Whig,0.493000001
1845,NA,NA,1,1,Polk,Polk,Democrat,NA
1846,NA,NA,2,2,Polk,Polk,Democrat,NA
1847,NA,NA,3,3,Polk,Polk,Democrat,NA
1848,NA,15,4,4,Polk,Polk,Democrat,0.47299999
1849,NA,NA,1,1,Tayl,Taylor,Whig,NA
1850,NA,NA,2,2,Fill,Fillmore,Whig,NA
1851,NA,NA,3,3,Fill,Fillmore,Whig,NA
1852,NA,16,4,4,Fill,Fillmore,Whig,0.463
1853,NA,NA,1,1,Prc,Pierce,Democrat,NA
1854,NA,NA,2,2,Prc,Pierce,Democrat,NA
1855,NA,NA,3,3,Prc,Pierce,Democrat,NA
1856,NA,17,4,4,Prc,Pierce,Democrat,0.578000009
1857,NA,NA,1,5,Buch,Buchanan,Democrat,NA
1858,NA,NA,2,6,Buch,Buchanan,Democrat,NA
1859,NA,NA,3,7,Buch,Buchanan,Democrat,NA
1860,NA,18,4,8,Buch,Buchanan,Democrat,0.54400003
1861,NA,NA,1,1,Linc,Lincoln,Republican,NA
1862,NA,NA,2,2,Linc,Lincoln,Republican,NA
1863,NA,NA,3,3,Linc,Lincoln,Republican,NA
1864,NA,19,4,4,Linc,Lincoln,Republican,0.550000012
1865,NA,NA,5,5,Linc,Lincoln,Republican,NA
1866,NA,NA,2,1,John,Johnson,Democrat,NA
1867,NA,NA,3,2,John,Johnson,Democrat,NA
1868,NA,20,4,3,John,Johnson,Democrat,0.47299999
1869,NA,NA,1,1,USG,Grant,Republican,NA
1870,NA,NA,2,2,USG,Grant,Republican,NA
1871,NA,NA,3,3,USG,Grant,Republican,NA
1872,NA,21,4,4,USG,Grant,Republican,0.559000015
1873,NA,NA,5,5,USG,Grant,Republican,NA
1874,NA,NA,6,6,USG,Grant,Republican,NA
