"","year","state","dem","rep","lib","green","other","totalvotes"
"1",1976,"Alabama",659170,504070,1481,NA,17821,1182542
"2",1976,"Alaska",44058,71555,6785,NA,NA,122398
"3",1976,"Arizona",295602,418642,7647,NA,20806,742697
"4",1976,"Arkansas",498604,267903,NA,NA,1028,767535
"5",1976,"California",3742284,3882244,NA,NA,179242,7803770
"6",1976,"Colorado",460801,584278,5338,NA,31023,1081440
"7",1976,"Connecticut",647895,719261,NA,NA,19199,1386355
"8",1976,"Delaware",122461,109780,NA,NA,3401,235642
"9",1976,"District of Columbia",137818,27873,NA,NA,2851,168542
"10",1976,"Florida",1636000,1469531,NA,NA,44968,3150499
"11",1976,"Georgia",979409,483743,NA,NA,NA,1463152
"12",1976,"Hawaii",147375,140003,3923,NA,NA,291301
"13",1976,"Idaho",126549,204151,3558,NA,6674,340932
"14",1976,"Illinois",2271295,2364269,8057,NA,73244,4716865
"15",1976,"Indiana",1014714,1183958,NA,NA,21690,2220362
"16",1976,"Iowa",619931,632864,1454,NA,25054,1279303
"17",1976,"Kansas",430421,502752,NA,NA,24672,957845
"18",1976,"Kentucky",615717,531852,814,NA,18759,1167142
"19",1976,"Louisiana",661365,587446,3134,NA,25438,1277383
"20",1976,"Maine",232279,236320,NA,NA,14369,482968
"21",1976,"Maryland",759612,672661,NA,NA,NA,1432273
"22",1976,"Massachusetts",1429475,1030276,135,NA,87672,2547558
"23",1976,"Michigan",1696714,1893742,5407,NA,55727,3651590
"24",1976,"Minnesota",1070440,819395,3529,NA,56225,1949589
"25",1976,"Mississippi",381329,366846,2609,NA,17606,768390
"26",1976,"Missouri",998387,927443,NA,NA,27770,1953600
"27",1976,"Montana",149259,173703,NA,NA,5772,328734
"28",1976,"Nebraska",233293,359219,1476,NA,12761,606749
"29",1976,"Nevada",92479,101273,1519,NA,6605,201876
"30",1976,"New Hampshire",147645,185935,936,NA,5111,339627
"31",1976,"New Jersey",1444653,1509688,9449,NA,50682,3014472
"32",1976,"New Mexico",201148,211419,1110,NA,2913,416590
"33",1976,"New York",3244165,2825913,NA,NA,598184,6668262
"34",1976,"North Carolina",927365,741960,2219,NA,6362,1677906
"35",1976,"North Dakota",136078,153684,256,NA,7290,297308
"36",1976,"Ohio",2009959,2000626,8952,NA,90919,4110456
"37",1976,"Oklahoma",532442,545708,NA,NA,14101,1092251
"38",1976,"Oregon",490407,492120,NA,NA,41242,1023769
"39",1976,"Pennsylvania",2328677,2205604,NA,NA,86506,4620787
"40",1976,"Rhode Island",227636,181249,715,NA,984,410584
"41",1976,"South Carolina",450807,346149,NA,NA,4946,801902
"42",1976,"South Dakota",147068,151505,1619,NA,486,300678
"43",1976,"Tennessee",825879,633969,NA,NA,16268,1476116
"44",1976,"Texas",2082319,1953300,NA,NA,33283,4068902
"45",1976,"Utah",182110,337908,NA,NA,21200,541218
"46",1976,"Vermont",77798,100387,NA,NA,5717,183902
"47",1976,"Virginia",813896,836554,4648,NA,41996,1697094
"48",1976,"Washington",717323,777732,5042,NA,55437,1555534
"49",1976,"West Virginia",435864,314726,NA,NA,NA,750590
"50",1976,"Wisconsin",1040232,1004987,3814,NA,52303,2101336
"51",1976,"Wyoming",62239,92717,NA,NA,NA,154956
"52",1980,"Alabama",636730,654192,13318,NA,37689,1341929
"53",1980,"Alaska",41842,86112,18479,NA,11155,157588
"54",1980,"Arizona",246843,529688,18784,NA,78630,873945
"55",1980,"Arkansas",398041,403164,8970,NA,27407,837582
"56",1980,"California",3082943,4522994,148390,NA,828611,8582938
"57",1980,"Colorado",368009,652264,25744,NA,138433,1184450
"58",1980,"Connecticut",541732,677210,8570,NA,177937,1405449
"59",1980,"Delaware",105754,111252,1974,NA,16688,235668
"60",1980,"District of Columbia",130231,23313,1104,NA,18551,173199
"61",1980,"Florida",1419475,2046951,30524,NA,189692,3686642
"62",1980,"Georgia",890955,654168,15627,NA,36055,1596805
"63",1980,"Hawaii",135879,130112,3269,NA,34027,303287
"64",1980,"Idaho",110192,290699,8425,NA,28115,437431
"65",1980,"Illinois",1981413,2358049,38939,NA,370716,4749117
"66",1980,"Indiana",844197,1255656,19627,NA,122553,2242033
"67",1980,"Iowa",508672,676026,13123,NA,119321,1317142
"68",1980,"Kansas",326150,566812,14470,NA,72363,979795
"69",1980,"Kentucky",617417,635274,5531,NA,37405,1295627
"70",1980,"Louisiana",708453,792853,8240,NA,39045,1548591
"71",1980,"Maine",220974,238522,5119,NA,58312,522927
"72",1980,"Maryland",726161,680606,14192,NA,119537,1540496
"73",1980,"Massachusetts",1053802,1057631,22038,NA,388330,2521801
"74",1980,"Michigan",1661532,1915225,41597,NA,290415,3908769
"75",1980,"Minnesota",954173,873268,31593,NA,192601,2051635
"76",1980,"Mississippi",429281,441089,4702,NA,16678,891750
"77",1980,"Missouri",931182,1074181,14422,NA,79435,2099220
"78",1980,"Montana",118032,206814,9825,NA,29281,363952
"79",1980,"Nebraska",166424,419214,9041,NA,44854,639533
"80",1980,"Nevada",66666,155017,4358,NA,17651,243692
"81",1980,"New Hampshire",108864,221705,2064,NA,51289,383922
"82",1980,"New Jersey",1147364,1546557,20652,NA,261111,2975684
"83",1980,"New Mexico",167826,250779,4365,NA,33267,456237
"84",1980,"New York",2728372,2637700,NA,NA,834823,6200895
"85",1980,"North Carolina",875635,915018,9677,NA,55503,1855833
"86",1980,"North Dakota",79189,193695,3743,NA,24489,301116
"87",1980,"Ohio",1752414,2206545,49033,NA,275611,4283603
"88",1980,"Oklahoma",402026,695570,13828,NA,38284,1149708
"89",1980,"Oregon",456890,571044,25838,NA,126031,1179803
"90",1980,"Pennsylvania",1937540,2261872,33263,NA,328826,4561501
"91",1980,"Rhode Island",198342,154793,2458,NA,60374,415967
"92",1980,"South Carolina",428220,439277,4807,NA,15954,888258
"93",1980,"South Dakota",103855,198343,3824,NA,21681,327703
"94",1980,"Tennessee",783051,787761,7116,NA,39536,1617464
"95",1980,"Texas",1881147,2510705,37643,NA,111613,4541108
"96",1980,"Utah",124266,439687,7156,NA,33043,604152
"97",1980,"Vermont",81952,94628,1900,NA,34406,212886
"98",1980,"Virginia",752174,989609,12821,NA,111428,1866032
"99",1980,"Washington",650193,865244,29213,NA,197744,1742394
"100",1980,"West Virginia",367462,334206,4356,NA,31691,737715
"101",1980,"Wisconsin",981584,1088845,29135,NA,172320,2271884
"102",1980,"Wyoming",49427,110700,4514,NA,12072,176713
"103",1984,"Alabama",551899,872849,9504,NA,7461,1441713
"104",1984,"Alaska",62007,138377,6378,NA,843,207605
"105",1984,"Arizona",333854,681416,10585,NA,42,1025897
"106",1984,"Arkansas",338646,534774,2221,NA,8765,884406
"107",1984,"California",3922519,5467009,49951,NA,65562,9505041
"108",1984,"Colorado",454975,821817,11257,NA,7331,1295380
"109",1984,"Connecticut",569597,890877,NA,NA,6426,1466900
"110",1984,"Delaware",101656,152190,268,NA,458,254572
"111",1984,"District of Columbia",180408,29009,279,NA,1592,211288
"112",1984,"Florida",1448816,2730350,NA,NA,885,4180051
"113",1984,"Georgia",706628,1068722,NA,NA,753,1776103
"114",1984,"Hawaii",147154,185050,2167,NA,1475,335846
"115",1984,"Idaho",108510,297523,2823,NA,2288,411144
"116",1984,"Illinois",2086499,2707103,10086,NA,15400,4819088
"117",1984,"Indiana",841481,1377230,6741,NA,7617,2233069
"118",1984,"Iowa",605620,703088,1844,NA,9253,1319805
"119",1984,"Kansas",333149,677296,3329,NA,8217,1021991
"120",1984,"Kentucky",539539,821702,NA,NA,8104,1369345
"121",1984,"Louisiana",651586,1037299,1876,NA,16061,1706822
"122",1984,"Maine",214515,336500,NA,NA,2129,553144
"123",1984,"Maryland",787935,879918,5721,NA,2299,1675873
"124",1984,"Massachusetts",1239606,1310936,NA,NA,8841,2559383
"125",1984,"Michigan",1529638,2251571,10055,NA,10394,3801658
"126",1984,"Minnesota",1036364,1032603,2996,NA,12486,2084449
"127",1984,"Mississippi",352192,582377,2336,NA,4199,941104
"128",1984,"Missouri",848583,1274188,NA,NA,NA,2122771
"129",1984,"Montana",146742,232450,5185,NA,NA,384377
"130",1984,"Nebraska",187866,460054,2079,NA,2091,652090
