"","year","state","dem","rep","lib","green","other","totalvotes"
"131",1984,"Nevada",91655,188770,2292,NA,NA,282717
"132",1984,"New Hampshire",120347,267050,735,NA,772,388904
"133",1984,"New Jersey",1261323,1933630,6416,NA,16493,3217862
"134",1984,"New Mexico",201769,307101,4459,NA,1041,514370
"135",1984,"New York",3001285,3376519,11949,NA,417057,6806810
"136",1984,"North Carolina",824287,1346481,3794,NA,799,2175361
"137",1984,"North Dakota",104429,200336,703,NA,3503,308971
"138",1984,"Ohio",1825440,2678559,5886,NA,53350,4563235
"139",1984,"Oklahoma",385080,861530,9066,NA,NA,1255676
"140",1984,"Oregon",536479,685700,NA,NA,4348,1226527
"141",1984,"Pennsylvania",2228131,2584323,6982,NA,25467,4844903
"142",1984,"Rhode Island",197106,212080,277,NA,1026,410489
"143",1984,"South Carolina",344459,615539,4359,NA,4172,968529
"144",1984,"South Dakota",116113,200267,NA,NA,1487,317867
"145",1984,"Tennessee",711714,990212,3072,NA,6995,1711993
"146",1984,"Texas",1949276,3433428,NA,NA,14867,5397571
"147",1984,"Utah",155369,469105,2447,NA,2735,629656
"148",1984,"Vermont",95730,135865,1002,NA,1964,234561
"149",1984,"Virginia",796250,1337078,NA,NA,13307,2146635
"150",1984,"Washington",798352,1051670,8844,NA,16044,1874910
"151",1984,"West Virginia",328125,405483,NA,NA,2134,735742
"152",1984,"Wisconsin",995740,1198584,4883,NA,12482,2211689
"153",1984,"Wyoming",53370,133241,2357,NA,NA,188968
"154",1988,"Alabama",549506,815576,8460,NA,4428,1377970
"155",1988,"Alaska",72584,119251,5484,NA,1840,199159
"156",1988,"Arizona",454029,702541,13351,NA,1662,1171583
"157",1988,"Arkansas",349237,466578,3297,NA,8626,827738
"158",1988,"California",4702233,5054917,70105,NA,58999,9886254
"159",1988,"Colorado",621453,728177,15482,NA,7143,1372255
"160",1988,"Connecticut",676584,750241,14071,NA,2491,1443387
"161",1988,"Delaware",108647,139639,1162,NA,443,249891
"162",1988,"District of Columbia",159407,27590,554,NA,3773,191324
"163",1988,"Florida",1656701,2618885,19796,NA,6655,4302037
"164",1988,"Georgia",714792,1081331,8435,NA,5099,1809657
"165",1988,"Hawaii",192364,158625,1999,NA,1473,354461
"166",1988,"Idaho",147272,253881,5313,NA,2502,408968
"167",1988,"Illinois",2215940,2310939,14944,NA,17297,4559120
"168",1988,"Indiana",860643,1297763,NA,NA,10215,2168621
"169",1988,"Iowa",670557,545355,2494,NA,7208,1225614
"170",1988,"Kansas",422636,554049,NA,NA,16359,993044
"171",1988,"Kentucky",580368,734281,2118,NA,5750,1322517
"172",1988,"Louisiana",717460,883702,4115,NA,22925,1628202
"173",1988,"Maine",243569,307131,2700,NA,1635,555035
"174",1988,"Maryland",826304,876167,6748,NA,5115,1714334
"175",1988,"Massachusetts",1401415,1194635,24251,NA,12500,2632801
"176",1988,"Michigan",1675783,1965486,18336,NA,9558,3669163
"177",1988,"Minnesota",1109471,962337,5109,NA,16259,2093176
"178",1988,"Mississippi",363921,557890,3329,NA,6387,931527
"179",1988,"Missouri",1001619,1084953,NA,NA,6656,2093228
"180",1988,"Montana",168936,190412,5047,NA,1279,365674
"181",1988,"Nebraska",259235,397956,2534,NA,1740,661465
"182",1988,"Nevada",132738,206040,3520,NA,835,343133
"183",1988,"New Hampshire",163696,281537,4502,NA,790,450525
"184",1988,"New Jersey",1320352,1743192,8421,NA,27588,3099553
"185",1988,"New Mexico",244497,270341,3368,NA,3088,521294
"186",1988,"New York",3255487,2838414,12109,NA,379673,6485683
"187",1988,"North Carolina",890167,1237258,NA,NA,5682,2133107
"188",1988,"North Dakota",127739,166559,1315,NA,1648,297261
"189",1988,"Ohio",1939629,2416549,11926,NA,25131,4393235
"190",1988,"Oklahoma",483423,678367,6261,NA,2985,1171036
"191",1988,"Oregon",616206,560126,14811,NA,10551,1201694
"192",1988,"Pennsylvania",2194944,2300087,12051,NA,29169,4536251
"193",1988,"Rhode Island",225123,177761,825,NA,860,404569
"194",1988,"South Carolina",370554,606443,4935,NA,4077,986009
"195",1988,"South Dakota",145560,165415,NA,NA,2016,312991
"196",1988,"Tennessee",679794,947233,NA,NA,8938,1635965
"197",1988,"Texas",2352748,3036829,30355,NA,7208,5427140
"198",1988,"Utah",207343,428442,7473,NA,3750,647008
"199",1988,"Vermont",115775,124331,1000,NA,2222,243328
"200",1988,"Virginia",859799,1309162,8336,NA,14312,2191609
"201",1988,"Washington",933516,903835,17240,NA,10662,1865253
"202",1988,"West Virginia",341016,310065,NA,NA,2230,653311
"203",1988,"Wisconsin",1126794,1047499,NA,NA,17315,2191608
"204",1988,"Wyoming",67113,106867,2026,NA,545,176551
"205",1992,"Alabama",690080,804283,5737,NA,187237,1687337
"206",1992,"Alaska",78294,102000,1378,NA,76469,258141
"207",1992,"Arizona",543050,572086,6759,NA,365072,1486967
"208",1992,"Arkansas",505823,337324,NA,NA,107506,950653
"209",1992,"California",5121325,3630574,48139,NA,2327314,11127352
"210",1992,"Colorado",629681,562850,8669,NA,367980,1569180
"211",1992,"Connecticut",682318,578313,5391,NA,350134,1616156
"212",1992,"Delaware",126054,102313,935,NA,60318,289620
"213",1992,"District of Columbia",192619,20698,467,NA,13112,226896
"214",1992,"Florida",2071698,2173310,15079,NA,1053067,5313154
"215",1992,"Georgia",1008966,995252,7110,NA,309657,2320985
"216",1992,"Hawaii",179310,136822,1119,NA,55591,372842
"217",1992,"Idaho",137013,202645,1167,NA,141289,482114
"218",1992,"Illinois",2453350,1734096,9218,NA,853471,5050135
"219",1992,"Indiana",848420,989375,7936,NA,458517,2304248
"220",1992,"Iowa",586353,504891,1076,NA,262287,1354607
"221",1992,"Kansas",390434,449951,4314,NA,312358,1157057
"222",1992,"Kentucky",665104,617178,4513,NA,206058,1492853
"223",1992,"Louisiana",815971,733386,3155,NA,237505,1790017
"224",1992,"Maine",263420,206504,1681,NA,207894,679499
"225",1992,"Maryland",988571,707094,4715,NA,284200,1984580
"226",1992,"Massachusetts",1318639,805039,9021,NA,640965,2773664
"227",1992,"Michigan",1871182,1554940,10175,NA,837462,4273759
"228",1992,"Minnesota",1020997,747841,3374,NA,573237,2345449
"229",1992,"Mississippi",400258,487793,2154,NA,91588,981793
"230",1992,"Missouri",1053873,811159,7497,NA,518741,2391270
"231",1992,"Montana",154507,144207,986,NA,110883,410583
"232",1992,"Nebraska",216864,343678,1340,NA,175664,737546
"233",1992,"Nevada",189148,175828,1835,NA,139507,506318
"234",1992,"New Hampshire",209040,202484,3548,NA,122143,537215
"235",1992,"New Jersey",1436206,1356865,6822,NA,543701,3343594
"236",1992,"New Mexico",261617,212824,1615,NA,93930,569986
"237",1992,"New York",3346894,2041690,13451,NA,1677397,7079432
"238",1992,"North Carolina",1114042,1134661,5171,NA,357976,2611850
"239",1992,"North Dakota",99168,136244,NA,NA,72721,308133
"240",1992,"Ohio",1984942,1894310,NA,NA,1060673,4939925
"241",1992,"Oklahoma",473066,592929,4486,NA,319878,1390359
"242",1992,"Oregon",621314,475757,4277,NA,359730,1461078
"243",1992,"Pennsylvania",2239164,1791841,21477,NA,907328,4959810
"244",1992,"Rhode Island",213299,131601,571,NA,107894,453365
"245",1992,"South Carolina",525514,577507,2719,NA,123172,1228912
"246",1992,"South Dakota",124888,136718,814,NA,73834,336254
"247",1992,"Tennessee",933521,841300,NA,NA,207656,1982477
"248",1992,"Texas",2281815,2496071,19699,NA,1354781,6152366
"249",1992,"Utah",183429,322632,1900,NA,236037,743998
"250",1992,"Vermont",133592,88122,501,NA,66998,289213
"251",1992,"Virginia",1038650,1150517,5730,NA,363768,2558665
"252",1992,"Washington",993037,731234,7533,NA,555761,2287565
"253",1992,"West Virginia",331001,241974,1873,NA,108829,683677
"254",1992,"Wisconsin",1041066,930855,2877,NA,556266,2531064
"255",1992,"Wyoming",68160,79347,844,NA,51533,199884
"256",1996,"Alabama",662165,769044,5290,NA,96727,1533226
"257",1996,"Alaska",80380,122746,2276,7597,27987,240986
"258",1996,"Arizona",653288,622073,14358,NA,112113,1401832
"259",1996,"Arkansas",475171,325416,3076,3649,76950,884262
"260",1996,"California",5119835,3828381,73600,237016,759784,10018616
"261",1996,"Colorado",671152,691848,12392,25070,110240,1510702
"262",1996,"Connecticut",735740,483109,5788,24321,143651,1392609
"263",1996,"Delaware",140355,99062,2052,NA,29341,270810
"264",1996,"District of Columbia",158220,17339,588,4780,4151,185078
"265",1996,"Florida",2546870,2244536,23326,NA,483870,5298602
"266",1996,"Georgia",1053849,1080843,17870,NA,146337,2298899
"267",1996,"Hawaii",205012,113943,2493,10386,28286,360120
"268",1996,"Idaho",165443,256595,3325,NA,66348,491711
"269",1996,"Illinois",2341744,1587021,22548,NA,358620,4309933
"270",1996,"Indiana",887424,1006693,15632,NA,224299,2134048
"271",1996,"Iowa",620258,492644,2315,6550,112308,1234075
"272",1996,"Kansas",387659,583245,4557,NA,97813,1073274
"273",1996,"Kentucky",636614,623283,4009,NA,124093,1387999
"274",1996,"Louisiana",927837,712586,7499,NA,136037,1783959
"275",1996,"Maine",312788,186378,2996,15279,88456,605897
"276",1996,"Maryland",966207,681530,8765,NA,121731,1778233
"277",1996,"Massachusetts",1571509,718058,20424,NA,241845,2551836
"278",1996,"Michigan",1989653,1481212,27670,NA,345631,3844166
"279",1996,"Minnesota",1120380,766395,8271,24906,269637,2189589
"280",1996,"Mississippi",394022,439838,2809,NA,57188,893857
"281",1996,"Missouri",1025935,890016,10522,NA,231592,2158065
"282",1996,"Montana",167922,179652,2526,NA,56983,407083
"283",1996,"Nebraska",236761,363467,2792,NA,74395,677415
"284",1996,"Nevada",203974,199244,4460,4730,51871,464279
"285",1996,"New Hampshire",246166,196486,4214,NA,49731,496597
"286",1996,"New Jersey",1652361,1103099,NA,NA,320400,3075860
"287",1996,"New Mexico",273495,232751,2996,13218,33614,556074
"288",1996,"New York",3649630,1738707,12220,75956,962616,6439129
"289",1996,"North Carolina",1107849,1225938,8740,NA,170830,2513357
"290",1996,"North Dakota",106905,125050,847,NA,33609,266411
"291",1996,"Ohio",2148222,1859883,12851,2962,510516,4534434
"292",1996,"Oklahoma",488105,582315,5505,NA,130788,1206713
"293",1996,"Oregon",649641,538152,8903,49415,131649,1377760
"294",1996,"Pennsylvania",2215819,1801169,28000,NA,456319,4501307
"295",1996,"Rhode Island",233050,104683,1109,6040,45365,390247
"296",1996,"South Carolina",506152,573339,4271,NA,66420,1150182
"297",1996,"South Dakota",139333,150543,1472,NA,32478,323826
"298",1996,"Tennessee",909146,863530,NA,NA,121239,1893915
"299",1996,"Texas",2459683,2736167,20256,NA,390431,5606537
"300",1996,"Utah",221633,361911,4129,4615,73182,665470
"301",1996,"Vermont",137894,80352,1183,5585,32875,257889
"302",1996,"Virginia",1091060,1138350,9174,NA,178058,2416642
"303",1996,"Washington",1123323,840712,12522,NA,277280,2253837
"304",1996,"West Virginia",327812,233946,3062,NA,71639,636459
"305",1996,"Wisconsin",1071971,845029,7929,NA,271240,2196169
"306",1996,"Wyoming",77934,105388,1739,NA,26510,211571
"307",2000,"Alabama",692611,941173,5893,NA,25896,1665573
"308",2000,"Alaska",79004,167398,2636,28747,6707,284492
"309",2000,"Arizona",685341,781652,5775,45645,13493,1531906
"310",2000,"Arkansas",422768,472940,2781,13421,9871,921781
"311",2000,"California",5861203,4567429,45520,418707,72963,10965822
"312",2000,"Colorado",738227,883748,12799,91434,15160,1741368
"313",2000,"Connecticut",816015,561094,3484,64452,14426,1459471
"314",2000,"Delaware",180068,137288,774,8307,1092,327529
"315",2000,"District of Columbia",171923,18073,669,10576,114,201355
"316",2000,"Florida",2912253,2912790,16415,97488,24124,5963070
"317",2000,"Georgia",1116230,1419720,36332,NA,10926,2583208
"318",2000,"Hawaii",205286,137845,1477,21623,1720,367951
"319",2000,"Idaho",138637,336937,3488,NA,10261,489323
"320",2000,"Illinois",2589026,2019421,11623,103759,18233,4742062
"321",2000,"Indiana",901980,1245836,15530,NA,16959,2180305
"322",2000,"Iowa",638517,634373,3209,29374,47549,1353022
"323",2000,"Kansas",399276,622332,4525,NA,46083,1072216
"324",2000,"Kentucky",638923,872520,2885,23118,6580,1544026
"325",2000,"Louisiana",792344,927871,2951,20473,22017,1765656
"326",2000,"Maine",319951,286616,3074,37127,5049,651817
"327",2000,"Maryland",1144008,813827,5310,53768,6643,2023556
"328",2000,"Massachusetts",1616487,878502,16366,173564,49045,2733964
"329",2000,"Michigan",2170418,1953139,16711,84165,6217,4230650
"330",2000,"Minnesota",NA,1109659,5282,126696,1197020,2438657
"331",2000,"Mississippi",404614,572844,2009,NA,14717,994184
"332",2000,"Missouri",1111138,1189924,7436,38515,12879,2359892
"333",2000,"Montana",137126,240178,1718,24437,7527,410986
"334",2000,"Nebraska",231780,433862,2245,24540,4592,697019
"335",2000,"Nevada",279978,301575,3311,15008,9554,609426
"336",2000,"New Hampshire",266348,273559,2757,22198,2943,567805
"337",2000,"New Jersey",1788850,1284173,NA,NA,114203,3187226
"338",2000,"New Mexico",286783,286417,2058,21251,2096,598605
"339",2000,"New York",3942215,2258577,7649,244030,507742,6960213
"340",2000,"North Carolina",1257692,1631163,13891,NA,12244,2914990
"341",2000,"North Dakota",95284,174852,NA,NA,18120,288256
"342",2000,"Ohio",2183628,2350363,13473,NA,154534,4701998
"343",2000,"Oklahoma",474276,744337,6602,NA,9014,1234229
"344",2000,"Oregon",720342,713577,7447,77357,15227,1533950
"345",2000,"Pennsylvania",2485967,2281127,11248,103392,30451,4912185
"346",2000,"Rhode Island",249508,130555,742,25052,2926,408783
"347",2000,"South Carolina",566037,786892,4760,NA,26213,1383902
"348",2000,"South Dakota",118804,190700,1662,NA,5103,316269
"349",2000,"Tennessee",981720,1061949,NA,NA,32084,2075753
"350",2000,"Texas",2433746,3799639,23160,137994,12394,6406933
"351",2000,"Utah",203053,515096,3616,35850,13138,770753
"352",2000,"Vermont",149022,119775,784,NA,24213,293794
"353",2000,"Virginia",1217290,1437490,15198,59398,7264,2736640
"354",2000,"Washington",1247652,1108864,13135,103002,14780,2487433
"355",2000,"West Virginia",295497,336475,1912,10680,3536,648100
"356",2000,"Wisconsin",1242987,1237279,6640,94070,17631,2598607
"357",2000,"Wyoming",60481,147947,1443,NA,3855,213726
"358",2004,"Alabama",693933,1176394,NA,NA,12190,1882517
"359",2004,"Alaska",111025,190889,1675,1058,7161,311808
"360",2004,"Arizona",893524,1104294,11856,NA,NA,2009674
"361",2004,"Arkansas",469953,572898,2352,1488,8254,1054945
"362",2004,"California",6745485,5509826,50165,40771,54252,12400499
"363",2004,"Colorado",1001732,1101255,7664,1591,17388,2129630
"364",2004,"Connecticut",857488,693826,3367,9564,14512,1578757
"365",2004,"Delaware",200152,171660,586,250,2542,375190
"366",2004,"District of Columbia",202970,21256,502,NA,2352,227080
"367",2004,"Florida",3583544,3964522,11996,3917,45831,7609810
"368",2004,"Georgia",1366149,1914254,18387,NA,NA,3298790
"369",2004,"Hawaii",231708,194191,1377,1737,NA,429013
"370",2004,"Idaho",181098,409235,3844,NA,4199,598376
"371",2004,"Illinois",2891550,2345946,32442,NA,NA,5269938
"372",2004,"Indiana",969011,1479438,18058,NA,NA,2466507
"373",2004,"Iowa",741898,751957,2992,1141,7826,1505814
"374",2004,"Kansas",434993,736456,4013,NA,12247,1187709
"375",2004,"Kentucky",712733,1069439,2619,NA,11069,1795860
"376",2004,"Louisiana",820299,1102169,2781,1276,16581,1943106
"377",2004,"Maine",396842,330201,1965,2936,8808,740752
"378",2004,"Maryland",1334493,1024703,6094,3632,15275,2384197
"379",2004,"Massachusetts",1803800,1071109,15022,NA,32718,2922649
"380",2004,"Michigan",2479183,2313746,10552,5325,30446,4839252
"381",2004,"Minnesota",NA,1346695,4639,4408,1470113,2825855
"382",2004,"Mississippi",457766,672660,1793,1073,6532,1139824
"383",2004,"Missouri",1259171,1455713,9831,NA,5355,2730070
"384",2004,"Montana",173710,266063,1733,996,7932,450434
"385",2004,"Nebraska",254328,512814,2041,978,7094,777255
"386",2004,"Nevada",397190,418690,3176,853,9678,829587
"387",2004,"New Hampshire",340511,331237,NA,NA,5574,677322
"388",2004,"New Jersey",1911430,1670003,NA,NA,30258,3611691
"389",2004,"New Mexico",370942,376930,2382,1226,4824,756304
"390",2004,"New York",4180755,2806993,11607,NA,448607,7447962
"391",2004,"North Carolina",1525849,1961166,11731,NA,NA,3498746
"392",2004,"North Dakota",111052,196651,851,NA,4270,312824
"393",2004,"Ohio",2741165,2859764,NA,NA,26616,5627545
"394",2004,"Oklahoma",503966,959792,NA,NA,NA,1463758
"395",2004,"Oregon",943163,866831,7260,NA,19528,1836782
"396",2004,"Pennsylvania",2938095,2793847,21185,6319,7488,5766934
"397",2004,"Rhode Island",259760,169046,907,1333,6088,437134
"398",2004,"South Carolina",661669,937974,3608,1488,12961,1617700
"399",2004,"South Dakota",149244,232584,964,NA,5423,388215
"400",2004,"Tennessee",1036477,1384375,NA,NA,16428,2437280
"401",2004,"Texas",2832704,4526917,38787,NA,NA,7398408
"402",2004,"Utah",241199,663742,3375,NA,19485,927801
"403",2004,"Vermont",184067,121180,1102,NA,5003,311352
"404",2004,"Virginia",1454742,1716959,11032,NA,10161,3192894
"405",2004,"Washington",1510201,1304894,11955,2974,29060,2859084
"406",2004,"West Virginia",326541,423778,1405,NA,4063,755787
"407",2004,"Wisconsin",1489504,1478120,6464,NA,22919,2997007
"408",2004,"Wyoming",70776,167629,1171,NA,3805,243381
"409",2008,"Alabama",813479,1266546,NA,NA,16089,2096114
"410",2008,"Alaska",123594,193841,1589,NA,5443,324467
"411",2008,"Arizona",1034707,1230111,12555,3406,11301,2292080
"412",2008,"Arkansas",422310,638017,4776,3470,18044,1086617
"413",2008,"California",8274473,5011781,67582,38774,149054,13541664
"414",2008,"Colorado",1288576,1073589,10897,2822,25477,2401361
"415",2008,"Connecticut",997772,629428,NA,NA,19162,1646362
"416",2008,"Delaware",255459,152374,1109,385,3085,412412
"417",2008,"District of Columbia",245800,17367,NA,590,958,264715
"418",2008,"Florida",4282074,4045624,17218,2887,42550,8390353
"419",2008,"Georgia",1844123,2048759,28731,NA,NA,3921613
"420",2008,"Hawaii",325871,120566,1314,979,7334,456064
"421",2008,"Idaho",236440,403012,3658,NA,11922,655032
"422",2008,"Illinois",3419348,2031179,19642,11838,40353,5522360
"423",2008,"Indiana",1374039,1345648,29257,NA,NA,2748944
"424",2008,"Iowa",828940,682379,4590,1423,13054,1530386
"425",2008,"Kansas",514765,699655,6706,NA,14746,1235872
"426",2008,"Kentucky",751985,1048462,5989,NA,20072,1826508
"427",2008,"Louisiana",782989,1148275,NA,9187,20310,1960761
"428",2008,"Maine",421923,295273,NA,2900,11067,731163
"429",2008,"Maryland",1629467,959862,9842,4747,18473,2622391
"430",2008,"Massachusetts",1904097,1108854,13189,6550,70305,3102995
"431",2008,"Michigan",2872579,2048639,23716,8892,47770,5001596
"432",2008,"Minnesota",1573354,1275409,9174,5174,37729,2900840
"433",2008,"Mississippi",554662,724597,2529,1034,7043,1289865
"434",2008,"Missouri",1441911,1445814,11386,NA,26014,2925125
"435",2008,"Montana",231667,242763,1355,NA,14324,490109
"436",2008,"Nebraska",333319,452979,2740,1028,8378,798444
"437",2008,"Nevada",533736,412827,4263,1411,15611,967848
"438",2008,"New Hampshire",384826,316534,2748,NA,3503,707611
"439",2008,"New Jersey",2215422,1613207,8441,3636,27531,3868237
"440",2008,"New Mexico",472422,346832,2428,1552,6924,830158
"441",2008,"New York",4645332,2418323,19596,12801,625265,7721317
"442",2008,"North Carolina",2142651,2128474,25722,NA,NA,4296847
