"state","cty","countyfips","Obama","Romney","pctObama","diff2012"
"AL","Mobile","01097",78417,94566,0.453322002740154,-16149
"AL","Monroe","01099",4897,5730,0.460807377434836,-833
"AL","Montgomery","01101",62993,38283,0.621993364666851,24710
"AL","Morgan","01103",13401,35309,0.275118045575857,-21908
"AL","Perry","01105",4536,1504,0.750993377483444,3032
"AL","Pickens","01107",4448,5119,0.464931535486568,-671
"AL","Pike","01109",6009,7939,0.430814453685116,-1930
"AL","Randolph","01111",3076,7219,0.298785818358426,-4143
"AL","Russell","01113",10495,8276,0.559107133343988,2219
"AL","Shelby","01117",19944,71243,0.218715387061752,-51299
"AL","St. Clair","01115",5790,29001,0.166422350607916,-23211
"AL","Sumter","01119",5420,1585,0.773733047822984,3835
"AL","Talladega","01121",13878,19217,0.419338268620638,-5339
"AL","Tallapoosa","01123",6252,12303,0.336944219886823,-6051
"AL","Tuscaloosa","01125",32003,45703,0.411847219004967,-13700
"AL","Walker","01127",6551,21633,0.232436843599205,-15082
"AL","Washington","01129",2971,5749,0.340711009174312,-2778
"AL","Wilcox","01131",4867,1676,0.743848387589791,3191
"AL","Winston","01133",1286,8310,0.134014172571905,-7024
"AR","Arkansas","05001",2454,3892,0.38670028364324,-1438
"AR","Ashley","05003",2855,4866,0.369770755083538,-2011
"AR","Baxter","05005",5172,13688,0.27423117709438,-8516
"AR","Benton","05007",22592,54544,0.292885293507571,-31952
"AR","Boone","05009",3762,11143,0.25239852398524,-7381
"AR","Bradley","05011",1447,2118,0.405890603085554,-671
"AR","Calhoun","05013",660,1458,0.311614730878187,-798
"AR","Carroll","05015",3691,6121,0.376172034243783,-2430
"AR","Chicot","05017",2649,1670,0.613336420467701,979
"AR","Clark","05019",3808,4343,0.467181940866151,-535
"AR","Clay","05021",1738,3225,0.350191416481967,-1487
"AR","Cleburne","05023",2618,8691,0.231497037757538,-6073
"AR","Cleveland","05025",845,2313,0.267574414186194,-1468
"AR","Columbia","05027",3557,5790,0.380549909061731,-2233
"AR","Conway","05029",3003,4511,0.399653979238754,-1508
"AR","Craighead","05031",10351,20044,0.340549432472446,-9693
"AR","Crawford","05033",4872,15125,0.243636545481822,-10253
"AR","Crittenden","05035",9092,6192,0.594870452761057,2900
"AR","Cross","05037",2279,4268,0.348098365663663,-1989
"AR","Dallas","05039",1337,1664,0.445518160613129,-327
"AR","Desha","05041",2353,1807,0.565625,546
"AR","Drew","05043",2627,3883,0.403533026113671,-1256
"AR","Faulkner","05045",13559,26653,0.337187904108226,-13094
"AR","Franklin","05047",1725,4631,0.271397105097546,-2906
"AR","Fulton","05049",1452,2949,0.329925017041581,-1497
"AR","Garland","05051",13317,25031,0.347267132575362,-11714
"AR","Grant","05053",1467,4829,0.233005082592122,-3362
"AR","Greene","05055",3998,9066,0.306031843233313,-5068
"AR","Hempstead","05057",2466,4284,0.365333333333333,-1818
"AR","Hot Spring","05059",3824,7087,0.350472000733205,-3263
"AR","Howard","05061",1460,2862,0.33780657103193,-1402
"AR","Independence","05063",3279,8724,0.273181704573857,-5445
"AR","Izard","05065",1563,3571,0.30444098169069,-2008
"AR","Jackson","05067",2093,3065,0.40577743311361,-972
"AR","Jefferson","05069",17456,9515,0.64721367394609,7941
"AR","Johnson","05071",2785,5045,0.355683269476373,-2260
"AR","Lafayette","05073",1173,1712,0.406585788561525,-539
"AR","Lawrence","05075",1786,3535,0.335651193384702,-1749
"AR","Lee","05077",2107,1280,0.622084440507824,827
"AR","Lincoln","05079",1424,2199,0.393044438310792,-775
"AR","Little River","05081",1552,3385,0.314360947944096,-1833
"AR","Logan","05083",2009,5078,0.28347678848596,-3069
"AR","Lonoke","05085",5612,17863,0.239062832800852,-12251
"AR","Madison","05087",2099,4262,0.329979562961798,-2163
"AR","Marion","05089",2024,4771,0.297866077998528,-2747
"AR","Miller","05091",4518,10622,0.298414795244386,-6104
"AR","Mississippi","05093",6445,6599,0.494096902790555,-154
"AR","Monroe","05095",1583,1585,0.499684343434343,-2
"AR","Montgomery","05097",920,2368,0.279805352798054,-1448
"AR","Nevada","05099",1314,1996,0.396978851963746,-682
"AR","Newton","05101",993,2508,0.28363324764353,-1515
"AR","Ouachita","05103",4626,5516,0.456123052652337,-890
"AR","Perry","05105",1187,2580,0.31510485797717,-1393
"AR","Phillips","05107",5179,2591,0.666537966537966,2588
"AR","Pike","05109",850,2847,0.229916148228293,-1997
"AR","Poinsett","05111",2387,4967,0.3245852597226,-2580
"AR","Polk","05113",1556,5950,0.207300826005862,-4394
"AR","Pope","05115",5108,14733,0.257446701275137,-9625
"AR","Prairie","05117",877,2149,0.289821546596167,-1272
"AR","Pulaski","05119",87055,68856,0.558363425287504,18199
"AR","Randolph","05121",2040,3699,0.355462624150549,-1659
"AR","Saint Francis","05123",4652,3287,0.585968006046102,1365
"AR","Saline","05125",12868,32962,0.280776783766092,-20094
"AR","Scott","05127",895,2630,0.253900709219858,-1735
"AR","Searcy","05129",814,2699,0.231710788499858,-1885
"AR","Sebastian","05131",13083,29158,0.309722781184158,-16075
"AR","Sevier","05133",1042,3135,0.249461335887,-2093
"AR","Sharp","05135",2092,4920,0.298345693097547,-2828
"AR","Stone","05137",1356,3773,0.264379021251706,-2417
"AR","Union","05139",6182,10696,0.366275625074061,-4514
"AR","Van Buren","05141",1826,4362,0.295087265675501,-2536
"AR","Washington","05143",28136,39570,0.415561397808171,-11434
"AR","White","05145",5765,20005,0.223709740007761,-14240
"AR","Woodruff","05147",1340,1227,0.522010128554733,113
"AR","Yell","05149",1720,4041,0.298559277903142,-2321
"AZ","Apache","04001",17144,8250,0.675120107111916,8894
"AZ","Cochise","04003",16223,26742,0.377586407541022,-10519
"AZ","Coconino","04005",26316,19368,0.576044129235619,6948
"AZ","Gila","04007",7293,12846,0.362133174437658,-5553
"AZ","Graham","04009",3608,8076,0.308798356727148,-4468
"AZ","Greenlee","04011",1310,1590,0.451724137931034,-280
"AZ","La Paz","04012",1619,3205,0.3356135986733,-1586
"AZ","Maricopa","04013",512008,654835,0.438797678865109,-142827
"AZ","Mohave","04015",18324,46442,0.282926226723898,-28118
"AZ","Navajo","04017",16157,19155,0.457549841413684,-2998
"AZ","Pima","04019",183470,162927,0.52965239306345,20543
"AZ","Pinal","04021",41428,58947,0.412732254047323,-17519
"AZ","Santa Cruz","04023",9486,4235,0.691349027038846,5251
"AZ","Yavapai","04025",32624,62385,0.343377995768822,-29761
"AZ","Yuma","04027",14025,19500,0.41834451901566,-5475
"CA","Alameda","06001",454344,106324,0.810361925417538,348020
"CA","Alpine","06003",389,236,0.6224,153
"CA","Amador","06005",6001,8903,0.4026435856146,-2902
"CA","Butte","06007",32567,35312,0.479780197115455,-2745
"CA","Calaveras","06009",7404,10537,0.412686026419932,-3133
"CA","Colusa","06011",2248,3521,0.389668920090137,-1273
"CA","Contra Costa","06013",239198,116867,0.671781837585834,122331
"CA","Del Norte","06015",3396,4256,0.443805541035024,-860
"CA","El Dorado","06017",34033,49661,0.406636079049872,-15628
"CA","Fresno","06019",85862,91143,0.485082342306714,-5281
"CA","Glenn","06021",3276,5608,0.368752814047726,-2332
"CA","Humboldt","06023",27757,15653,0.639414881363741,12104
"CA","Imperial","06025",17464,9545,0.646599281720908,7919
"CA","Inyo","06027",2775,3541,0.439360354654845,-766
"CA","Kern","06029",80257,119065,0.402649983443875,-38808
"CA","Kings","06031",12282,17184,0.41681938505396,-4902
"CA","Lake","06033",9159,6474,0.585876031471886,2685
"CA","Lassen","06035",3044,7261,0.295390587093644,-4217
"CA","Los Angeles","06037",1781383,754974,0.702339221174306,1026409
"CA","Madera","06039",12698,18990,0.400719515273921,-6292
"CA","Marin","06041",73450,23347,0.758804508404186,50103
"CA","Mariposa","06043",3080,4434,0.409901517167953,-1354
"CA","Mendocino","06045",11869,5129,0.698258618661019,6740
"CA","Merced","06047",26128,23403,0.527508025277099,2725
"CA","Modoc","06049",1113,2779,0.285971223021583,-1666
"CA","Mono","06051",2574,2202,0.53894472361809,372
"CA","Monterey","06053",51712,25087,0.673342100808604,26625
"CA","Napa","06055",19964,11647,0.631552307740976,8317
"CA","Nevada","06057",14261,15696,0.476049003571786,-1435
