Race,Pop2020,Pop2010,Change
Hispanic or Latino,1049615,719660,329955
White alone,9553417,10094652,-541235
Black or African American alone,1368978,1327091,41887
American Indian and Alaska Native alone,15028,16909,-1881
Asian alone,506674,346288,160386
Native Hawaiian and Other Pacific Islander alone,3162,2715,447
Some Other Race alone,54541,16469,38072
Population of two or more races,451285,178595,272690
